1712534590239372800 ('EPT', 'BID') 1 4485
1712534590239372803 ('DLO', 'ASK') 1 5245
1712534590239372805 ('MKU', 'ASK') 1 4530
1712534590239372807 ('IGM', 'ASK') 1 5377
1712534590239372809 ('BRV', 'ASK') 1 5030
1712534590239372821 ('SCP', 'ASK') 30 4908
1712534590239372821 ('SCP', 'ASK') 40 4907
1712534590239372826 ('JAK', 'ASK') 30 4951
1712534590239372826 ('JAK', 'ASK') 40 4950
1712534590239372826 ('JAK', 'ASK') 10 4949
1712534590239372815 ('MKU', 'ASK') 1 4554
1712534590239372810 ('EPT', 'BID') 1 4495
1712534590239372825 ('SCP', 'ASK') 10 4909
1712534590239372801 ('EPT', 'ASK') 1 4501
1712534590239372811 ('EPT', 'ASK') 1 4501
1712534590239372838 ('MKU', 'ASK') 1 4574
1712534590239372858 ('DLO', 'ASK') 1 5229
1712534590239372836 ('DLO', 'ASK') 1 5242
1712534590239372813 ('DLO', 'ASK') 1 5246
1712534590239372834 ('EPT', 'ASK') 1 4501
1712534590239372856 ('EPT', 'ASK') 1 4501
1712534590239372855 ('EPT', 'BID') 1 4498
1712534590239372878 ('EPT', 'BID') 1 4498
1712534590239372881 ('DLO', 'ASK') 1 5235
1712534590239372883 ('MKU', 'ASK') 1 4554
1712534590239372833 ('EPT', 'BID') 1 4491
1712534590239372860 ('MKU', 'ASK') 1 4579
1712534590239372885 ('IGM', 'ASK') 1 5257
1712534590239372907 ('IGM', 'ASK') 1 5257
1712534590239372900 ('EPT', 'BID') 1 4467
1712534590239372862 ('IGM', 'ASK') 1 5304
1712534590239372909 ('BRV', 'ASK') 1 4889
1712534590239372887 ('BRV', 'ASK') 1 4890
1712534590239372903 ('DLO', 'ASK') 1 5253
1712534590239372923 ('EPT', 'BID') 1 4446
1712534590239372928 ('MKU', 'ASK') 1 4576
1712534590239372932 ('BRV', 'ASK') 1 4855
1712534590239372926 ('DLO', 'ASK') 1 5256
1712534590239372930 ('IGM', 'ASK') 1 5315
1712534590239372905 ('MKU', 'ASK') 1 4597
1712534590239372955 ('BRV', 'ASK') 1 4900
1712534590239372953 ('IGM', 'ASK') 1 5322
1712534590239372976 ('IGM', 'ASK') 1 5328
1712534590239372978 ('BRV', 'ASK') 1 4908
1712534590239372974 ('MKU', 'ASK') 1 4546
1712534590239372969 ('EPT', 'BID') 1 4422
1712534590239372946 ('EPT', 'BID') 1 4420
1712534590239372840 ('IGM', 'ASK') 1 5346
1712534590239372972 ('DLO', 'ASK') 1 5245
1712534590239372817 ('IGM', 'ASK') 1 5358
1712534590239373000 ('IGM', 'ASK') 1 5365
1712534590239373002 ('BRV', 'ASK') 1 4934
1712534590239372993 ('EPT', 'BID') 1 4409
1712534590239372997 ('MKU', 'BID') 1 4499
1712534590239372973 ('MKU', 'BID') 1 4499
1712534590239372950 ('MKU', 'BID') 1 4499
1712534590239372927 ('MKU', 'BID') 1 4499
1712534590239372904 ('MKU', 'BID') 1 4499
1712534590239372882 ('MKU', 'BID') 1 4499
1712534590239372859 ('MKU', 'BID') 1 4499
1712534590239372837 ('MKU', 'BID') 1 4499
1712534590239372814 ('MKU', 'BID') 1 4499
1712534590239372804 ('MKU', 'BID') 1 4499
1712534590239373020 ('MKU', 'BID') 1 4499
1712534590239373016 ('EPT', 'BID') 1 4407
1712534590239373047 ('BRV', 'ASK') 1 4897
1712534590239373045 ('IGM', 'ASK') 1 5339
1712534590239373064 ('DLO', 'ASK') 1 5225
1712534590239373041 ('DLO', 'ASK') 1 5232
1712534590239373070 ('BRV', 'ASK') 1 4922
1712534590239373025 ('BRV', 'ASK') 1 4932
1712534590239372864 ('BRV', 'ASK') 1 4968
1712534590239372842 ('BRV', 'ASK') 1 4988
1712534590239373061 ('EPT', 'BID') 1 4439
1712534590239373019 ('DLO', 'ASK') 1 5250
1712534590239373043 ('MKU', 'ASK') 1 4501
1712534590239373066 ('MKU', 'ASK') 1 4501
1712534590239373021 ('MKU', 'ASK') 1 4502
1712534590239373038 ('EPT', 'BID') 1 4422
1712534590239373089 ('MKU', 'ASK') 1 4537
1712534590239373093 ('BRV', 'ASK') 1 4969
1712534590239373087 ('DLO', 'ASK') 1 5249
1712534590239372996 ('DLO', 'ASK') 1 5251
1712534590239372949 ('DLO', 'ASK') 1 5261
1712534590239372998 ('MKU', 'ASK') 1 4546
1712534590239373091 ('IGM', 'ASK') 1 5343
1712534590239373068 ('IGM', 'ASK') 1 5347
1712534590239372825 ('SCP', 'ASK') 10 4909
1712534590239372825 ('SCP', 'ASK') 10 4909
1712534590239373113 ('IGM', 'ASK') 1 5361
1712534590239373109 ('DLO', 'ASK') 1 5259
1712534590239373023 ('IGM', 'ASK') 1 5367
1712534590239373137 ('IGM', 'ASK') 1 5396
1712534590239373135 ('MKU', 'ASK') 1 4552
1712534590239373139 ('BRV', 'ASK') 1 5000
1712534590239373130 ('EPT', 'BID') 1 4463
1712534590239373158 ('MKU', 'ASK') 1 4544
1712534590239373111 ('MKU', 'ASK') 1 4569
1712534590239373180 ('MKU', 'ASK') 1 4568
1712534590239373201 ('DLO', 'ASK') 1 5258
1712534590239373178 ('DLO', 'ASK') 1 5260
1712534590239373198 ('EPT', 'BID') 1 4478
1712534590239373156 ('DLO', 'ASK') 1 5265
1712534590239372879 ('EPT', 'ASK') 1 4501
1712534590239372901 ('EPT', 'ASK') 1 4501
1712534590239372924 ('EPT', 'ASK') 1 4501
1712534590239372947 ('EPT', 'ASK') 1 4501
1712534590239372970 ('EPT', 'ASK') 1 4501
1712534590239372994 ('EPT', 'ASK') 1 4501
1712534590239373017 ('EPT', 'ASK') 1 4501
1712534590239373039 ('EPT', 'ASK') 1 4501
1712534590239373062 ('EPT', 'ASK') 1 4501
1712534590239373085 ('EPT', 'ASK') 1 4501
1712534590239373107 ('EPT', 'ASK') 1 4501
1712534590239373131 ('EPT', 'ASK') 1 4501
1712534590239373154 ('EPT', 'ASK') 1 4501
1712534590239373176 ('EPT', 'ASK') 1 4501
1712534590239373199 ('EPT', 'ASK') 1 4501
1712534590239373223 ('EPT', 'ASK') 1 4504
1712534590239373227 ('MKU', 'ASK') 1 4558
1712534590239373229 ('IGM', 'ASK') 1 5298
1712534590239373231 ('BRV', 'ASK') 1 4931
1712534590239373207 ('BRV', 'ASK') 1 4950
1712534590239373253 ('BRV', 'ASK') 1 4909
1712534590239373247 ('DLO', 'ASK') 1 5252
1712534590239373249 ('MKU', 'ASK') 1 4577
1712534590239373251 ('IGM', 'ASK') 1 5313
1712534590239373184 ('BRV', 'ASK') 1 4986
1712534590239373162 ('BRV', 'ASK') 1 4998
1712534590239373274 ('IGM', 'ASK') 1 5331
1712534590239373276 ('BRV', 'ASK') 1 4981
1712534590239373205 ('IGM', 'ASK') 1 5343
1712534590239373267 ('EPT', 'BID') 1 4495
1712534590239373244 ('EPT', 'BID') 1 4494
1712534590239373115 ('BRV', 'ASK') 1 5014
1712534590239373222 ('EPT', 'BID') 1 4493
1712534590239373270 ('DLO', 'ASK') 1 5256
1712534590239373298 ('IGM', 'ASK') 1 5361
1712534590239373291 ('EPT', 'BID') 1 4487
1712534590239373294 ('DLO', 'ASK') 1 5249
1712534590239373225 ('DLO', 'ASK') 1 5264
1712534590239373133 ('DLO', 'ASK') 1 5271
1712534590239373316 ('DLO', 'ASK') 1 5254
1712534590239373322 ('BRV', 'ASK') 1 4997
1712534590239373300 ('BRV', 'ASK') 1 5015
1712534590239372819 ('BRV', 'ASK') 1 5021
1712534590239373268 ('EPT', 'ASK') 1 4501
1712534590239373292 ('EPT', 'ASK') 1 4501
1712534590239373314 ('EPT', 'ASK') 1 4501
1712534590239373345 ('BRV', 'ASK') 1 5015
1712534590239373339 ('DLO', 'ASK') 1 5275
1712534590239373337 ('EPT', 'ASK') 1 4501
1712534590239373359 ('EPT', 'ASK') 1 4501
1712534590239373365 ('IGM', 'ASK') 1 5308
1712534590239373367 ('BRV', 'ASK') 1 5065
1712534590239373363 ('MKU', 'ASK') 1 4517
1712534590239373343 ('IGM', 'ASK') 1 5315
1712534590239373358 ('EPT', 'BID') 1 4499
1712534590239373336 ('EPT', 'BID') 1 4497
1712534590239373381 ('EPT', 'BID') 1 4496
1712534590239373385 ('MKU', 'BID') 1 4499
1712534590239373362 ('MKU', 'BID') 1 4499
1712534590239373340 ('MKU', 'BID') 1 4499
1712534590239373317 ('MKU', 'BID') 1 4499
1712534590239373295 ('MKU', 'BID') 1 4498
1712534590239373271 ('MKU', 'BID') 1 4497
1712534590239373248 ('MKU', 'BID') 1 4496
1712534590239373226 ('MKU', 'BID') 1 4495
1712534590239373202 ('MKU', 'BID') 1 4494
1712534590239373179 ('MKU', 'BID') 1 4493
1712534590239373157 ('MKU', 'BID') 1 4492
1712534590239373134 ('MKU', 'BID') 1 4491
1712534590239373110 ('MKU', 'BID') 1 4490
1712534590239373088 ('MKU', 'BID') 1 4489
1712534590239373313 ('EPT', 'BID') 1 4488
1712534590239373065 ('MKU', 'BID') 1 4488
1712534590239373384 ('DLO', 'ASK') 1 5276
1712534590239373388 ('IGM', 'ASK') 1 5317
1712534590239373175 ('EPT', 'BID') 1 4469
1712534590239373403 ('EPT', 'BID') 1 4467
1712534590239373410 ('IGM', 'ASK') 1 5337
1712534590239373153 ('EPT', 'BID') 1 4462
1712534590239373320 ('IGM', 'ASK') 1 5350
1712534590239373106 ('EPT', 'BID') 1 4459
1712534590239373182 ('IGM', 'ASK') 1 5362
1712534590239373160 ('IGM', 'ASK') 1 5398
1712534590239373433 ('IGM', 'ASK') 1 5407
1712534590239373430 ('MKU', 'BID') 1 4484
1712534590239373431 ('MKU', 'ASK') 1 4503
1712534590239373408 ('MKU', 'ASK') 1 4504
1712534590239373386 ('MKU', 'ASK') 1 4505
1712534590239373341 ('MKU', 'ASK') 1 4528
1712534590239373318 ('MKU', 'ASK') 1 4534
1712534590239373426 ('EPT', 'BID') 1 4445
1712534590239373453 ('MKU', 'ASK') 1 4506
1712534590239373455 ('IGM', 'ASK') 1 5452
1712534590239373448 ('EPT', 'BID') 1 4439
1712534590239373296 ('MKU', 'ASK') 1 4553
1712534590239373479 ('MKU', 'ASK') 1 4549
1712534590239373477 ('DLO', 'ASK') 1 5258
1712534590239373481 ('IGM', 'ASK') 1 5460
1712534590239373506 ('IGM', 'ASK') 1 5486
1712534590239373529 ('IGM', 'ASK') 1 5536
1712534590239373522 ('EPT', 'BID') 1 4489
1712534590239373499 ('EPT', 'BID') 1 4469
1712534590239373526 ('MKU', 'BID') 1 4499
1712534590239373503 ('MKU', 'BID') 1 4499
