1712534967500138753 ('EPT', 'ASK') 1 4914
1712534967500138755 ('DLO', 'ASK') 1 4933
1712534967500138757 ('MKU', 'ASK') 1 5506
1712534967500138759 ('IGM', 'ASK') 1 5449
1712534967500138761 ('BRV', 'ASK') 1 5482
1712534967500138772 ('SCP', 'ASK') 30 5269
1712534967500138772 ('SCP', 'ASK') 40 5268
1712534967500138772 ('SCP', 'ASK') 10 5267
1712534967500138778 ('JAK', 'ASK') 30 5125
1712534967500138778 ('JAK', 'ASK') 40 5124
1712534967500138778 ('JAK', 'ASK') 10 5123
1712534967500138763 ('EPT', 'ASK') 1 4933
1712534967500138767 ('MKU', 'ASK') 1 5500
1712534967500138786 ('EPT', 'ASK') 1 4954
1712534967500138790 ('MKU', 'ASK') 1 5508
1712534967500138810 ('EPT', 'ASK') 1 5001
1712534967500138814 ('MKU', 'ASK') 1 5513
1712534967500138835 ('DLO', 'ASK') 1 4917
1712534967500138837 ('MKU', 'ASK') 1 5512
1712534967500138812 ('DLO', 'ASK') 1 4924
1712534967500138788 ('DLO', 'ASK') 1 4931
1712534967500138765 ('DLO', 'ASK') 1 4932
1712534967500138841 ('BRV', 'ASK') 1 5289
1712534967500138860 ('DLO', 'ASK') 1 4941
1712534967500138866 ('BRV', 'ASK') 1 5293
1712534967500138862 ('MKU', 'ASK') 1 5506
1712534967500138858 ('EPT', 'ASK') 1 5042
1712534967500138818 ('BRV', 'ASK') 1 5332
1712534967500138833 ('EPT', 'ASK') 1 5048
1712534967500138880 ('EPT', 'ASK') 1 5037
1712534967500138884 ('MKU', 'ASK') 1 5509
1712534967500138882 ('DLO', 'ASK') 1 4961
1712534967500138902 ('EPT', 'ASK') 1 5062
1712534967500138910 ('BRV', 'ASK') 1 5382
1712534967500138888 ('BRV', 'ASK') 1 5390
1712534967500138794 ('BRV', 'ASK') 1 5391
1712534967500138908 ('IGM', 'ASK') 1 5186
1712534967500138904 ('DLO', 'ASK') 1 4969
1712534967500138925 ('EPT', 'ASK') 1 5091
1712534967500138927 ('DLO', 'ASK') 1 4982
1712534967500138949 ('EPT', 'ASK') 1 5112
1712534967500138957 ('BRV', 'ASK') 1 5372
1712534967500138933 ('BRV', 'ASK') 1 5398
1712534967500138971 ('EPT', 'ASK') 1 5134
1712534967500138979 ('BRV', 'ASK') 1 5406
1712534967500138977 ('IGM', 'ASK') 1 5174
1712534967500138955 ('IGM', 'ASK') 1 5177
1712534967500138975 ('MKU', 'ASK') 1 5506
1712534967500138953 ('MKU', 'ASK') 1 5510
1712534967500138929 ('MKU', 'ASK') 1 5517
1712534967500138906 ('MKU', 'ASK') 1 5522
1712534967500138998 ('MKU', 'ASK') 1 5511
1712534967500139020 ('MKU', 'ASK') 1 5529
1712534967500139042 ('DLO', 'ASK') 1 4937
1712534967500139018 ('DLO', 'ASK') 1 4939
1712534967500139046 ('IGM', 'ASK') 1 5119
1712534967500139068 ('IGM', 'ASK') 1 5133
1712534967500139064 ('DLO', 'ASK') 1 4945
1712534967500139086 ('EPT', 'ASK') 1 5140
1712534967500139062 ('EPT', 'ASK') 1 5141
1712534967500139088 ('DLO', 'ASK') 1 4936
1712534967500139110 ('DLO', 'ASK') 1 4948
1712534967500138996 ('DLO', 'ASK') 1 4963
1712534967500139133 ('DLO', 'ASK') 1 4970
1712534967500139139 ('BRV', 'ASK') 1 5150
1712534967500139131 ('EPT', 'ASK') 1 5131
1712534967500139108 ('EPT', 'ASK') 1 5141
1712534967500139040 ('EPT', 'ASK') 1 5142
1712534967500139116 ('BRV', 'ASK') 1 5156
1712534967500139135 ('MKU', 'ASK') 1 5456
1712534967500139137 ('IGM', 'ASK') 1 5060
1712534967500139114 ('IGM', 'ASK') 1 5077
1712534967500139112 ('MKU', 'ASK') 1 5464
1712534967500139090 ('MKU', 'ASK') 1 5476
1712534967500139157 ('MKU', 'ASK') 1 5476
1712534967500139161 ('BRV', 'ASK') 1 5182
1712534967500139153 ('EPT', 'ASK') 1 5139
1712534967500139159 ('IGM', 'ASK') 1 5074
1712534967500139066 ('MKU', 'ASK') 1 5479
1712534967500139016 ('EPT', 'ASK') 1 5145
1712534967500139155 ('DLO', 'ASK') 1 4973
1712534967500139182 ('IGM', 'ASK') 1 5107
1712534967500139178 ('DLO', 'ASK') 1 4975
1712534967500138973 ('DLO', 'ASK') 1 4976
1712534967500138951 ('DLO', 'ASK') 1 4984
1712534967500139092 ('IGM', 'ASK') 1 5116
1712534967500139200 ('DLO', 'ASK') 1 4992
1712534967500139204 ('IGM', 'ASK') 1 5084
1712534967500139229 ('IGM', 'ASK') 1 5105
1712534967500139022 ('IGM', 'ASK') 1 5143
1712534967500139253 ('IGM', 'ASK') 1 5168
1712534967500139000 ('IGM', 'ASK') 1 5176
1712534967500138931 ('IGM', 'ASK') 1 5193
1712534967500139249 ('DLO', 'ASK') 1 4983
1712534967500139255 ('BRV', 'ASK') 1 5050
1712534967500139225 ('DLO', 'ASK') 1 4989
1712534967500138886 ('IGM', 'ASK') 1 5219
1712534967500139275 ('IGM', 'ASK') 1 5230
1712534967500139277 ('BRV', 'ASK') 1 5064
1712534967500139271 ('DLO', 'ASK') 1 4996
1712534967500139231 ('BRV', 'ASK') 1 5085
1712534967500139300 ('BRV', 'ASK') 1 5117
1712534967500139206 ('BRV', 'ASK') 1 5136
1712534967500139296 ('MKU', 'ASK') 1 5326
1712534967500139319 ('MKU', 'ASK') 1 5334
1712534967500139323 ('BRV', 'ASK') 1 5164
1712534967500139343 ('MKU', 'ASK') 1 5333
1712534967500139339 ('EPT', 'ASK') 1 5060
1712534967500139315 ('EPT', 'ASK') 1 5067
1712534967500139292 ('EPT', 'ASK') 1 5068
1712534967500139269 ('EPT', 'ASK') 1 5069
1712534967500139247 ('EPT', 'ASK') 1 5072
1712534967500139365 ('MKU', 'ASK') 1 5340
1712534967500139361 ('EPT', 'ASK') 1 5062
1712534967500139384 ('EPT', 'ASK') 1 5077
1712534967500139392 ('BRV', 'ASK') 1 5114
1712534967500139369 ('BRV', 'ASK') 1 5137
1712534967500139347 ('BRV', 'ASK') 1 5172
1712534967500139414 ('BRV', 'ASK') 1 5175
1712534967500139184 ('BRV', 'ASK') 1 5186
1712534967500139410 ('MKU', 'ASK') 1 5323
1712534967500139412 ('IGM', 'ASK') 1 5078
1712534967500139406 ('EPT', 'ASK') 1 5072
1712534967500139408 ('DLO', 'ASK') 1 4961
1712534967500139431 ('DLO', 'ASK') 1 4961
1712534967500139433 ('MKU', 'ASK') 1 5333
1712534967500139435 ('IGM', 'ASK') 1 5103
1712534967500139388 ('MKU', 'ASK') 1 5334
1712534967500139390 ('IGM', 'ASK') 1 5120
1712534967500139429 ('EPT', 'ASK') 1 5079
1712534967500139223 ('EPT', 'ASK') 1 5080
1712534967500139198 ('EPT', 'ASK') 1 5091
1712534967500139453 ('EPT', 'ASK') 1 5117
1712534967500139459 ('IGM', 'ASK') 1 5157
1712534967500139461 ('BRV', 'ASK') 1 5178
1712534967500139437 ('BRV', 'ASK') 1 5192
1712534967500139094 ('BRV', 'ASK') 1 5202
1712534967500139457 ('MKU', 'ASK') 1 5318
1712534967500139367 ('IGM', 'ASK') 1 5195
1712534967500139480 ('MKU', 'ASK') 1 5345
1712534967500139484 ('BRV', 'ASK') 1 5209
1712534967500139482 ('IGM', 'ASK') 1 5166
1712534967500139478 ('DLO', 'ASK') 1 4961
1712534967500139455 ('DLO', 'ASK') 1 4964
1712534967500139386 ('DLO', 'ASK') 1 4967
1712534967500139363 ('DLO', 'ASK') 1 4974
1712534967500139505 ('IGM', 'ASK') 1 5213
1712534967500139507 ('BRV', 'ASK') 1 5240
1712534967500139070 ('BRV', 'ASK') 1 5241
1712534967500139501 ('DLO', 'ASK') 1 4970
1712534967500139499 ('EPT', 'ASK') 1 5100
1712534967500139476 ('EPT', 'ASK') 1 5110
1712534967500139176 ('EPT', 'ASK') 1 5130
1712534967500139523 ('EPT', 'ASK') 1 5114
1712534967500139525 ('DLO', 'ASK') 1 4978
1712534967500139341 ('DLO', 'ASK') 1 4988
1712534967500139317 ('DLO', 'ASK') 1 4995
1712534967500139545 ('EPT', 'ASK') 1 5146
1712534967500139547 ('DLO', 'ASK') 1 5001
1712534967500139551 ('IGM', 'ASK') 1 5215
1712534967500139529 ('IGM', 'ASK') 1 5216
1712534967500139294 ('DLO', 'ASK') 1 5004
1712534967500138994 ('EPT', 'ASK') 1 5153
1712534967500139553 ('BRV', 'ASK') 1 5163
1712534967500139567 ('EPT', 'ASK') 1 5173
1712534967500139575 ('BRV', 'ASK') 1 5177
1712534967500139571 ('MKU', 'ASK') 1 5270
1712534967500139549 ('MKU', 'ASK') 1 5298
1712534967500139594 ('MKU', 'ASK') 1 5333
1712534967500139527 ('MKU', 'ASK') 1 5351
1712534967500139592 ('DLO', 'ASK') 1 4974
1712534967500139569 ('DLO', 'ASK') 1 4993
1712534967500139615 ('DLO', 'ASK') 1 4988
1712534967500139617 ('MKU', 'ASK') 1 5353
1712534967500139619 ('IGM', 'ASK') 1 5180
1712534967500139644 ('BRV', 'ASK') 1 5149
1712534967500139621 ('BRV', 'ASK') 1 5150
1712534967500139598 ('BRV', 'ASK') 1 5170
1712534967500139642 ('IGM', 'ASK') 1 5180
1712534967500139640 ('MKU', 'ASK') 1 5356
1712534967500139638 ('DLO', 'ASK') 1 4997
1712534967500139503 ('MKU', 'ASK') 1 5361
1712534967500139273 ('MKU', 'ASK') 1 5362
1712534967500139596 ('IGM', 'ASK') 1 5215
1712534967500139573 ('IGM', 'ASK') 1 5217
1712534967500139661 ('DLO', 'ASK') 1 5017
1712534967500139663 ('MKU', 'ASK') 1 5377
1712534967500139665 ('IGM', 'ASK') 1 5221
1712534967500139667 ('BRV', 'ASK') 1 5173
1712534967500139345 ('IGM', 'ASK') 1 5242
1712534967500139321 ('IGM', 'ASK') 1 5243
1712534967500139298 ('IGM', 'ASK') 1 5244
1712534967500139687 ('MKU', 'ASK') 1 5358
1712534967500139691 ('BRV', 'ASK') 1 5222
1712534967500139689 ('IGM', 'ASK') 1 5255
1712534967500139685 ('DLO', 'ASK') 1 5018
1712534967500139714 ('BRV', 'ASK') 1 5221
1712534967500139706 ('EPT', 'ASK') 1 5152
1712534967500139683 ('EPT', 'ASK') 1 5153
1712534967500139708 ('DLO', 'ASK') 1 5023
1712534967500139659 ('EPT', 'ASK') 1 5155
1712534967500139531 ('BRV', 'ASK') 1 5242
1712534967500139737 ('BRV', 'ASK') 1 5250
1712534967500139731 ('DLO', 'ASK') 1 5030
1712534967500139733 ('MKU', 'ASK') 1 5342
1712534967500139757 ('MKU', 'ASK') 1 5355
1712534967500139759 ('IGM', 'ASK') 1 5242
1712534967500139755 ('DLO', 'ASK') 1 5032
1712534967500139786 ('BRV', 'ASK') 1 5225
1712534967500139784 ('IGM', 'ASK') 1 5242
1712534967500139761 ('BRV', 'ASK') 1 5226
1712534967500139778 ('EPT', 'ASK') 1 5129
1712534967500139735 ('IGM', 'ASK') 1 5243
1712534967500139801 ('EPT', 'ASK') 1 5136
1712534967500139805 ('MKU', 'ASK') 1 5323
1712534967500139782 ('MKU', 'ASK') 1 5333
1712534967500139809 ('BRV', 'ASK') 1 5213
1712534967500139753 ('EPT', 'ASK') 1 5148
1712534967500139710 ('MKU', 'ASK') 1 5360
1712534967500139827 ('MKU', 'ASK') 1 5360
1712534967500139831 ('BRV', 'ASK') 1 5230
1712534967500139854 ('BRV', 'ASK') 1 5266
1712534967500139850 ('MKU', 'ASK') 1 5344
1712534967500139852 ('IGM', 'ASK') 1 5158
1712534967500139048 ('BRV', 'ASK') 1 5290
1712534967500139846 ('EPT', 'ASK') 1 5141
1712534967500139872 ('MKU', 'ASK') 1 5380
1712534967500139874 ('IGM', 'ASK') 1 5186
1712534967500139876 ('BRV', 'ASK') 1 5293
1712534967500139868 ('EPT', 'ASK') 1 5146
1712534967500139823 ('EPT', 'ASK') 1 5154
1712534967500139729 ('EPT', 'ASK') 1 5161
1712534967500139636 ('EPT', 'ASK') 1 5171
1712534967500139829 ('IGM', 'ASK') 1 5195
1712534967500139251 ('MKU', 'ASK') 1 5407
1712534967500139227 ('MKU', 'ASK') 1 5451
1712534967500139894 ('EPT', 'ASK') 1 5178
1712534967500139898 ('MKU', 'ASK') 1 5406
1712534967500139900 ('IGM', 'ASK') 1 5227
1712534967500139807 ('IGM', 'ASK') 1 5249
1712534967500139712 ('IGM', 'ASK') 1 5257
1712534967500139902 ('BRV', 'ASK') 1 5304
1712534967500139921 ('MKU', 'ASK') 1 5472
1712534967500139923 ('IGM', 'ASK') 1 5238
1712534967500139925 ('BRV', 'ASK') 1 5295
1712534967500138864 ('IGM', 'ASK') 1 5273
1712534967500139919 ('DLO', 'ASK') 1 5007
1712534967500139943 ('DLO', 'ASK') 1 5007
1712534967500139947 ('IGM', 'ASK') 1 5286
1712534967500139949 ('BRV', 'ASK') 1 5316
1712534967500139896 ('DLO', 'ASK') 1 5022
1712534967500139965 ('EPT', 'ASK') 1 5107
1712534967500139973 ('BRV', 'ASK') 1 5305
1712534967500139967 ('DLO', 'ASK') 1 5012
1712534967500139870 ('DLO', 'ASK') 1 5026
1712534967500139848 ('DLO', 'ASK') 1 5029
1712534967500139825 ('DLO', 'ASK') 1 5035
1712534967500139990 ('DLO', 'ASK') 1 5023
1712534967500139803 ('DLO', 'ASK') 1 5038
1712534967500139780 ('DLO', 'ASK') 1 5039
1712534967500140011 ('EPT', 'ASK') 1 5138
1712534967500139988 ('EPT', 'ASK') 1 5141
1712534967500139941 ('EPT', 'ASK') 1 5146
1712534967500140017 ('IGM', 'ASK') 1 5222
1712534967500139917 ('EPT', 'ASK') 1 5160
1712534967500140033 ('EPT', 'ASK') 1 5174
1712534967500140041 ('BRV', 'ASK') 1 5267
1712534967500140019 ('BRV', 'ASK') 1 5315
1712534967500140037 ('MKU', 'ASK') 1 5442
1712534967500140015 ('MKU', 'ASK') 1 5443
1712534967500139992 ('MKU', 'ASK') 1 5453
1712534967500139613 ('EPT', 'ASK') 1 5179
1712534967500139969 ('MKU', 'ASK') 1 5465
1712534967500139945 ('MKU', 'ASK') 1 5466
1712534967500139590 ('EPT', 'ASK') 1 5189
1712534967500140039 ('IGM', 'ASK') 1 5236
1712534967500139994 ('IGM', 'ASK') 1 5237
1712534967500140055 ('EPT', 'ASK') 1 5186
1712534967500140059 ('MKU', 'ASK') 1 5414
1712534967500140061 ('IGM', 'ASK') 1 5239
1712534967500140063 ('BRV', 'ASK') 1 5293
1712534967500139971 ('IGM', 'ASK') 1 5278
1712534967500139996 ('BRV', 'ASK') 1 5327
1712534967500140084 ('IGM', 'ASK') 1 5321
1712534967500140086 ('BRV', 'ASK') 1 5342
1712534967500140082 ('MKU', 'ASK') 1 5474
1712534967500139024 ('BRV', 'ASK') 1 5378
1712534967500140080 ('DLO', 'ASK') 1 5033
1712534967500139202 ('MKU', 'ASK') 1 5484
1712534967500139180 ('MKU', 'ASK') 1 5488
1712534967500138839 ('IGM', 'ASK') 1 5347
1712534967500140108 ('IGM', 'ASK') 1 5352
1712534967500140131 ('IGM', 'ASK') 1 5388
1712534967500140149 ('DLO', 'ASK') 1 5004
1712534967500140151 ('MKU', 'ASK') 1 5415
1712534967500140147 ('EPT', 'ASK') 1 5139
1712534967500140127 ('DLO', 'ASK') 1 5027
1712534967500140173 ('MKU', 'ASK') 1 5429
1712534967500140171 ('DLO', 'ASK') 1 5033
1712534967500140104 ('DLO', 'ASK') 1 5034
1712534967500140057 ('DLO', 'ASK') 1 5042
1712534967500140169 ('EPT', 'ASK') 1 5140
1712534967500140035 ('DLO', 'ASK') 1 5043
1712534967500140013 ('DLO', 'ASK') 1 5044
1712534967500140194 ('DLO', 'ASK') 1 5052
1712534967500140196 ('MKU', 'ASK') 1 5452
1712534967500140129 ('MKU', 'ASK') 1 5464
1712534967500140219 ('MKU', 'ASK') 1 5442
1712534967500140217 ('DLO', 'ASK') 1 5051
1712534967500140240 ('DLO', 'ASK') 1 5065
1712534967500140244 ('IGM', 'ASK') 1 5318
1712534967500140265 ('MKU', 'ASK') 1 5451
1712534967500140267 ('IGM', 'ASK') 1 5327
1712534967500140269 ('BRV', 'ASK') 1 5260
1712534967500140242 ('MKU', 'ASK') 1 5483
1712534967500140261 ('EPT', 'ASK') 1 5062
1712534967500140246 ('BRV', 'ASK') 1 5291
1712534967500140223 ('BRV', 'ASK') 1 5292
1712534967500140221 ('IGM', 'ASK') 1 5349
1712534967500140198 ('IGM', 'ASK') 1 5350
1712534967500140200 ('BRV', 'ASK') 1 5306
1712534967500140177 ('BRV', 'ASK') 1 5312
1712534967500140155 ('BRV', 'ASK') 1 5329
1712534967500140292 ('BRV', 'ASK') 1 5347
1712534967500140133 ('BRV', 'ASK') 1 5376
1712534967500140335 ('BRV', 'ASK') 1 5351
1712534967500140327 ('EPT', 'ASK') 1 5025
1712534967500140313 ('BRV', 'ASK') 1 5382
1712534967500140110 ('BRV', 'ASK') 1 5402
1712534967500139002 ('BRV', 'ASK') 1 5424
1712534967500138771 ('BRV', 'ASK') 1 5458
1712534967500140358 ('BRV', 'ASK') 1 5433
1712534967500140374 ('EPT', 'ASK') 1 5019
1712534967500140378 ('MKU', 'ASK') 1 5412
1712534967500140350 ('EPT', 'ASK') 1 5036
1712534967500140305 ('EPT', 'ASK') 1 5037
1712534967500140401 ('MKU', 'ASK') 1 5416
1712534967500140399 ('DLO', 'ASK') 1 5006
1712534967500140420 ('EPT', 'ASK') 1 5044
1712534967500140397 ('EPT', 'ASK') 1 5046
1712534967500140422 ('DLO', 'ASK') 1 5012
1712534967500140446 ('DLO', 'ASK') 1 5013
1712534967500140470 ('DLO', 'ASK') 1 5014
1712534967500140472 ('MKU', 'ASK') 1 5385
1712534967500140468 ('EPT', 'ASK') 1 5062
1712534967500140444 ('EPT', 'ASK') 1 5063
1712534967500140284 ('EPT', 'ASK') 1 5069
1712534967500140448 ('MKU', 'ASK') 1 5406
1712534967500140496 ('MKU', 'ASK') 1 5412
1712534967500140492 ('EPT', 'ASK') 1 5063
1712534967500140424 ('MKU', 'ASK') 1 5418
1712534967500140498 ('IGM', 'ASK') 1 5087
1712534967500140354 ('MKU', 'ASK') 1 5430
1712534967500140521 ('IGM', 'ASK') 1 5094
1712534967500140517 ('DLO', 'ASK') 1 5019
1712534967500140519 ('MKU', 'ASK') 1 5443
1712534967500140494 ('DLO', 'ASK') 1 5027
1712534967500140331 ('MKU', 'ASK') 1 5480
1712534967500140543 ('IGM', 'ASK') 1 5108
1712534967500140545 ('BRV', 'ASK') 1 5255
1712534967500140537 ('EPT', 'ASK') 1 5035
1712534967500140561 ('DLO', 'ASK') 1 4996
1712534967500140563 ('MKU', 'ASK') 1 5490
1712534967500140586 ('MKU', 'ASK') 1 5490
1712534967500140541 ('MKU', 'ASK') 1 5494
1712534967500140309 ('MKU', 'ASK') 1 5495
1712534967500140590 ('BRV', 'ASK') 1 5250
1712534967500140611 ('IGM', 'ASK') 1 5021
1712534967500140633 ('IGM', 'ASK') 1 5025
1712534967500140588 ('IGM', 'ASK') 1 5038
1712534967500140627 ('EPT', 'ASK') 1 5013
1712534967500140605 ('EPT', 'ASK') 1 5014
1712534967500140582 ('EPT', 'ASK') 1 5020
1712534967500140649 ('EPT', 'ASK') 1 5018
1712534967500140653 ('MKU', 'ASK') 1 5475
1712534967500140631 ('MKU', 'ASK') 1 5489
1712534967500140609 ('MKU', 'ASK') 1 5497
1712534967500140288 ('MKU', 'ASK') 1 5498
1712534967500140106 ('MKU', 'ASK') 1 5499
1712534967500139044 ('MKU', 'ASK') 1 5510
1712534967500140675 ('MKU', 'ASK') 1 5479
1712534967500140673 ('DLO', 'ASK') 1 4932
1712534967500140698 ('MKU', 'ASK') 1 5516
1712534967500140694 ('EPT', 'ASK') 1 5033
1712534967500140671 ('EPT', 'ASK') 1 5043
1712534967500140696 ('DLO', 'ASK') 1 4939
1712534967500140702 ('BRV', 'ASK') 1 5039
1712534967500140724 ('BRV', 'ASK') 1 5041
1712534967500140742 ('MKU', 'ASK') 1 5498
1712534967500140720 ('MKU', 'ASK') 1 5520
1712534967500140760 ('EPT', 'ASK') 1 5000
1712534967500140764 ('MKU', 'ASK') 1 5527
1712534967500140738 ('EPT', 'ASK') 1 5018
1712534967500140787 ('MKU', 'ASK') 1 5537
1712534967500140810 ('MKU', 'ASK') 1 5530
1712534967500140833 ('MKU', 'ASK') 1 5553
1712534967500140655 ('IGM', 'ASK') 1 5080
1712534967500140565 ('IGM', 'ASK') 1 5108
1712534967500140474 ('IGM', 'ASK') 1 5109
1712534967500140902 ('MKU', 'ASK') 1 5487
1712534967500140904 ('IGM', 'ASK') 1 5095
1712534967500140783 ('EPT', 'ASK') 1 5025
1712534967500140716 ('EPT', 'ASK') 1 5049
1712534967500140559 ('EPT', 'ASK') 1 5055
1712534967500140679 ('BRV', 'ASK') 1 5135
1712534967500140657 ('BRV', 'ASK') 1 5192
1712534967500140515 ('EPT', 'ASK') 1 5082
1712534967500140238 ('EPT', 'ASK') 1 5106
