1712538233285271811 ('DLO', 'ASK') 1 5005
1712538233285271813 ('MKU', 'ASK') 1 4986
1712538233285271815 ('IGM', 'ASK') 1 5651
1712538233285271817 ('BRV', 'ASK') 1 5318
1712538233285271809 ('EPT', 'ASK') 1 4501
1712538233285271818 ('EPT', 'BID') 1 4741
1712538233285271821 ('DLO', 'ASK') 1 5026
1712538233285271824 ('IGM', 'BID') 1 5645
1712538233285271827 ('BRV', 'ASK') 1 5329
1712538233285271823 ('MKU', 'ASK') 1 5002
1712538233285271825 ('IGM', 'ASK') 1 5664
1712538233285271828 ('EPT', 'BID') 1 4736
1712538233285271830 ('DLO', 'BID') 1 5015
1712538233285271837 ('BRV', 'ASK') 1 5353
1712538233285271835 ('IGM', 'ASK') 1 5645
1712538233285271829 ('EPT', 'ASK') 1 4740
1712538233285271820 ('DLO', 'BID') 1 5005
1712538233285271832 ('MKU', 'BID') 1 4999
1712538233285271822 ('MKU', 'BID') 1 4998
1712538233285271833 ('MKU', 'ASK') 1 5003
1712538233285271839 ('EPT', 'ASK') 1 4734
1712538233285271840 ('DLO', 'BID') 1 4981
1712538233285271843 ('MKU', 'ASK') 1 5023
1712538233285271845 ('IGM', 'ASK') 1 5699
1712538233285271847 ('BRV', 'ASK') 1 5425
1712538233285271838 ('EPT', 'BID') 1 4728
1712538233285271819 ('EPT', 'ASK') 1 4759
1712538233285271846 ('BRV', 'BID') 1 5351
1712538233285271836 ('BRV', 'BID') 1 5329
1712538233285271844 ('IGM', 'BID') 1 5651
1712538233285271834 ('IGM', 'BID') 1 5642
1712538233285271826 ('BRV', 'BID') 1 5316
1712538233285271849 ('EPT', 'ASK') 1 4773
1712538233285271850 ('DLO', 'BID') 1 4932
1712538233285271853 ('MKU', 'ASK') 1 5053
1712538233285271854 ('IGM', 'BID') 1 5656
1712538233285271856 ('BRV', 'BID') 1 5317
1712538233285271859 ('EPT', 'ASK') 1 4804
1712538233285271860 ('DLO', 'BID') 1 4974
1712538233285271863 ('MKU', 'ASK') 1 5167
1712538233285271864 ('IGM', 'BID') 1 5572
1712538233285271866 ('BRV', 'BID') 1 5307
1712538233285271869 ('EPT', 'ASK') 1 4786
1712538233285271871 ('DLO', 'ASK') 1 4984
1712538233285271873 ('MKU', 'ASK') 1 5183
1712538233285271874 ('IGM', 'BID') 1 5550
1712538233285271876 ('BRV', 'BID') 1 5320
1712538233285271861 ('DLO', 'ASK') 1 4999
1712538233285271879 ('EPT', 'ASK') 1 4788
1712538233285271881 ('DLO', 'ASK') 1 5010
1712538233285271883 ('MKU', 'ASK') 1 5212
1712538233285271884 ('IGM', 'BID') 1 5528
1712538233285271886 ('BRV', 'BID') 1 5248
1712538233285271851 ('DLO', 'ASK') 1 5012
1712538233285271889 ('EPT', 'ASK') 1 4839
1712538233285271891 ('DLO', 'ASK') 1 5014
1712538233285271893 ('MKU', 'ASK') 1 5204
1712538233285271894 ('IGM', 'BID') 1 5565
1712538233285271896 ('BRV', 'BID') 1 5290
1712538233285271899 ('EPT', 'ASK') 1 4856
1712538233285271901 ('DLO', 'ASK') 1 5025
1712538233285271903 ('MKU', 'ASK') 1 5176
1712538233285271904 ('IGM', 'BID') 1 5508
1712538233285271906 ('BRV', 'BID') 1 5279
1712538233285271897 ('BRV', 'ASK') 1 5315
1712538233285271907 ('BRV', 'ASK') 1 5326
1712538233285271857 ('BRV', 'ASK') 1 5361
1712538233285271831 ('DLO', 'ASK') 1 5029
1712538233285271841 ('DLO', 'ASK') 1 5030
1712538233285271909 ('EPT', 'ASK') 1 4817
1712538233285271911 ('DLO', 'ASK') 1 5041
1712538233285271913 ('MKU', 'ASK') 1 5186
1712538233285271914 ('IGM', 'BID') 1 5545
1712538233285271917 ('BRV', 'ASK') 1 5337
1712538233285271915 ('IGM', 'ASK') 1 5555
1712538233285271912 ('MKU', 'BID') 1 5179
1712538233285271905 ('IGM', 'ASK') 1 5590
1712538233285271902 ('MKU', 'BID') 1 5141
1712538233285271919 ('EPT', 'ASK') 1 4834
1712538233285271921 ('DLO', 'ASK') 1 5015
1712538233285271922 ('MKU', 'BID') 1 5131
1712538233285271925 ('IGM', 'ASK') 1 5631
1712538233285271927 ('BRV', 'ASK') 1 5384
1712538233285271929 ('EPT', 'ASK') 1 4839
1712538233285271932 ('MKU', 'BID') 1 5118
1712538233285271930 ('DLO', 'BID') 1 5019
1712538233285271935 ('IGM', 'ASK') 1 5606
1712538233285271937 ('BRV', 'ASK') 1 5385
1712538233285271928 ('EPT', 'BID') 1 4823
1712538233285271920 ('DLO', 'BID') 1 4994
1712538233285271938 ('EPT', 'BID') 1 4824
1712538233285271940 ('DLO', 'BID') 1 4994
1712538233285271942 ('MKU', 'BID') 1 5082
1712538233285271945 ('IGM', 'ASK') 1 5609
1712538233285271947 ('BRV', 'ASK') 1 5366
1712538233285271910 ('DLO', 'BID') 1 4981
1712538233285271887 ('BRV', 'ASK') 1 5389
1712538233285271870 ('DLO', 'BID') 1 4975
1712538233285271900 ('DLO', 'BID') 1 4958
1712538233285271880 ('DLO', 'BID') 1 4955
1712538233285271890 ('DLO', 'BID') 1 4928
