[REJECTED] 1712559280602420992 ('EPT', 'BID')
[REJECTED] 1712559280602420993 ('EPT', 'ASK')
1712559280602420995 ('DLO', 'ASK') 3 5167
[REJECTED] 1712559280602420996 ('MKU', 'BID')
[REJECTED] 1712559280602420997 ('MKU', 'ASK')
1712559280602420999 ('IGM', 'ASK') 3 5785
1712559280602421001 ('BRV', 'ASK') 3 4871
[REJECTED] 1712559280602421002 ('SCP', 'BID')
[REJECTED] 1712559280602421003 ('SCP', 'ASK')
[REJECTED] 1712559280602421005 ('JAK', 'ASK')
[REJECTED] 1712559280602421006 ('EPT', 'BID')
[REJECTED] 1712559280602421007 ('EPT', 'ASK')
[REJECTED] 1712559280602421008 ('EPT', 'BID')
[REJECTED] 1712559280602421009 ('EPT', 'ASK')
[REJECTED] 1712559280602421010 ('EPT', 'BID')
[REJECTED] 1712559280602421011 ('EPT', 'ASK')
1712559280602421013 ('DLO', 'ASK') 10 5167
1712559280602421015 ('DLO', 'ASK') 10 5167
1712559280602421017 ('DLO', 'ASK') 10 5167
[REJECTED] 1712559280602421018 ('MKU', 'BID')
[REJECTED] 1712559280602421019 ('MKU', 'ASK')
[REJECTED] 1712559280602421020 ('MKU', 'BID')
[REJECTED] 1712559280602421021 ('MKU', 'ASK')
[REJECTED] 1712559280602421022 ('MKU', 'BID')
[REJECTED] 1712559280602421023 ('MKU', 'ASK')
1712559280602421025 ('IGM', 'ASK') 10 5785
1712559280602421027 ('IGM', 'ASK') 10 5785
1712559280602421029 ('IGM', 'ASK') 7 5785
1712559280602421029 ('IGM', 'ASK') 3 5784
1712559280602421031 ('BRV', 'ASK') 10 4871
1712559280602421033 ('BRV', 'ASK') 10 4871
[REJECTED] 1712559280602421035 ('BRV', 'ASK')
[REJECTED] 1712559280602421036 ('EPT', 'BID')
[REJECTED] 1712559280602421037 ('EPT', 'ASK')
[REJECTED] 1712559280602421040 ('MKU', 'BID')
[REJECTED] 1712559280602421041 ('MKU', 'ASK')
[REJECTED] 1712559280602421046 ('SCP', 'BID')
[REJECTED] 1712559280602421047 ('SCP', 'ASK')
[REJECTED] 1712559280602421049 ('JAK', 'ASK')
[REJECTED] 1712559280602421050 ('SCP', 'ASK')
[REJECTED] 1712559280602421051 ('SCP', 'ASK')
[REJECTED] 1712559280602421052 ('SCP', 'ASK')
[REJECTED] 1712559280602421053 ('SCP', 'ASK')
[REJECTED] 1712559280602421054 ('SCP', 'ASK')
[REJECTED] 1712559280602421055 ('SCP', 'ASK')
[REJECTED] 1712559280602421056 ('JAK', 'ASK')
[REJECTED] 1712559280602421057 ('JAK', 'ASK')
[REJECTED] 1712559280602421058 ('JAK', 'ASK')
[REJECTED] 1712559280602421059 ('JAK', 'ASK')
[REJECTED] 1712559280602421060 ('JAK', 'ASK')
[REJECTED] 1712559280602421061 ('JAK', 'ASK')
[REJECTED] 1712559280602421062 ('EPT', 'BID')
[REJECTED] 1712559280602421063 ('EPT', 'ASK')
[REJECTED] 1712559280602421064 ('EPT', 'BID')
[REJECTED] 1712559280602421065 ('EPT', 'ASK')
[REJECTED] 1712559280602421066 ('EPT', 'BID')
[REJECTED] 1712559280602421067 ('EPT', 'ASK')
[REJECTED] 1712559280602421070 ('DLO', 'BID')
[REJECTED] 1712559280602421071 ('DLO', 'ASK')
[REJECTED] 1712559280602421072 ('DLO', 'BID')
[REJECTED] 1712559280602421073 ('DLO', 'ASK')
[REJECTED] 1712559280602421074 ('MKU', 'BID')
[REJECTED] 1712559280602421075 ('MKU', 'ASK')
[REJECTED] 1712559280602421076 ('MKU', 'BID')
[REJECTED] 1712559280602421077 ('MKU', 'ASK')
[REJECTED] 1712559280602421078 ('MKU', 'BID')
[REJECTED] 1712559280602421079 ('MKU', 'ASK')
[REJECTED] 1712559280602421082 ('IGM', 'BID')
[REJECTED] 1712559280602421083 ('IGM', 'ASK')
[REJECTED] 1712559280602421084 ('IGM', 'BID')
[REJECTED] 1712559280602421085 ('IGM', 'ASK')
[REJECTED] 1712559280602421086 ('BRV', 'BID')
[REJECTED] 1712559280602421087 ('BRV', 'ASK')
[REJECTED] 1712559280602421088 ('BRV', 'BID')
[REJECTED] 1712559280602421089 ('BRV', 'ASK')
[REJECTED] 1712559280602421090 ('BRV', 'BID')
[REJECTED] 1712559280602421091 ('BRV', 'ASK')
1712559280602421042 ('IGM', 'BID') 3 5818
1712559280602421045 ('BRV', 'ASK') 3 4877
1712559280602421039 ('DLO', 'ASK') 3 5184
1712559280602421080 ('IGM', 'BID') 10 5798
1712559280602421069 ('DLO', 'ASK') 10 5204
[REJECTED] 1712559280602421092 ('EPT', 'BID')
[REJECTED] 1712559280602421093 ('EPT', 'ASK')
1712559280602421095 ('DLO', 'ASK') 3 5213
[REJECTED] 1712559280602421096 ('MKU', 'BID')
[REJECTED] 1712559280602421097 ('MKU', 'ASK')
1712559280602421098 ('IGM', 'BID') 3 5791
[REJECTED] 1712559280602421101 ('BRV', 'ASK')
[REJECTED] 1712559280602421102 ('SCP', 'BID')
[REJECTED] 1712559280602421103 ('SCP', 'ASK')
[REJECTED] 1712559280602421105 ('JAK', 'ASK')
[REJECTED] 1712559280602421106 ('SCP', 'ASK')
[REJECTED] 1712559280602421107 ('SCP', 'ASK')
[REJECTED] 1712559280602421108 ('SCP', 'ASK')
[REJECTED] 1712559280602421109 ('SCP', 'ASK')
[REJECTED] 1712559280602421110 ('SCP', 'ASK')
[REJECTED] 1712559280602421111 ('SCP', 'ASK')
[REJECTED] 1712559280602421112 ('JAK', 'ASK')
[REJECTED] 1712559280602421113 ('JAK', 'ASK')
[REJECTED] 1712559280602421114 ('JAK', 'ASK')
[REJECTED] 1712559280602421115 ('JAK', 'ASK')
[REJECTED] 1712559280602421116 ('JAK', 'ASK')
[REJECTED] 1712559280602421117 ('JAK', 'ASK')
[REJECTED] 1712559280602421118 ('JAK', 'ASK')
[REJECTED] 1712559280602421119 ('JAK', 'ASK')
[REJECTED] 1712559280602421120 ('JAK', 'ASK')
[REJECTED] 1712559280602421121 ('JAK', 'ASK')
[REJECTED] 1712559280602421122 ('EPT', 'BID')
[REJECTED] 1712559280602421123 ('EPT', 'ASK')
[REJECTED] 1712559280602421124 ('EPT', 'BID')
[REJECTED] 1712559280602421125 ('EPT', 'ASK')
[REJECTED] 1712559280602421126 ('EPT', 'BID')
[REJECTED] 1712559280602421127 ('EPT', 'ASK')
[REJECTED] 1712559280602421129 ('DLO', 'ASK')
[REJECTED] 1712559280602421130 ('DLO', 'BID')
[REJECTED] 1712559280602421131 ('DLO', 'ASK')
[REJECTED] 1712559280602421132 ('DLO', 'BID')
[REJECTED] 1712559280602421133 ('MKU', 'BID')
[REJECTED] 1712559280602421134 ('MKU', 'ASK')
[REJECTED] 1712559280602421135 ('MKU', 'BID')
[REJECTED] 1712559280602421136 ('MKU', 'ASK')
[REJECTED] 1712559280602421137 ('MKU', 'BID')
[REJECTED] 1712559280602421138 ('MKU', 'ASK')
[REJECTED] 1712559280602421140 ('IGM', 'ASK')
[REJECTED] 1712559280602421141 ('IGM', 'BID')
[REJECTED] 1712559280602421142 ('IGM', 'ASK')
[REJECTED] 1712559280602421143 ('IGM', 'BID')
[REJECTED] 1712559280602421144 ('IGM', 'ASK')
[REJECTED] 1712559280602421145 ('BRV', 'BID')
[REJECTED] 1712559280602421146 ('BRV', 'ASK')
[REJECTED] 1712559280602421147 ('BRV', 'BID')
[REJECTED] 1712559280602421148 ('BRV', 'ASK')
[REJECTED] 1712559280602421149 ('BRV', 'BID')
[REJECTED] 1712559280602421150 ('BRV', 'ASK')
[REJECTED] 1712559280602421151 ('EPT', 'BID')
[REJECTED] 1712559280602421152 ('EPT', 'ASK')
1712559280602421153 ('DLO', 'BID') 3 5217
[REJECTED] 1712559280602421155 ('MKU', 'BID')
[REJECTED] 1712559280602421156 ('MKU', 'ASK')
1712559280602421157 ('IGM', 'BID') 3 5790
[REJECTED] 1712559280602421159 ('BRV', 'BID')
[REJECTED] 1712559280602421160 ('BRV', 'ASK')
[REJECTED] 1712559280602421161 ('SCP', 'BID')
[REJECTED] 1712559280602421162 ('SCP', 'ASK')
[REJECTED] 1712559280602421164 ('JAK', 'ASK')
[REJECTED] 1712559280602421165 ('SCP', 'ASK')
[REJECTED] 1712559280602421166 ('SCP', 'ASK')
[REJECTED] 1712559280602421167 ('SCP', 'ASK')
[REJECTED] 1712559280602421168 ('SCP', 'ASK')
[REJECTED] 1712559280602421169 ('SCP', 'ASK')
[REJECTED] 1712559280602421170 ('SCP', 'ASK')
[REJECTED] 1712559280602421171 ('JAK', 'ASK')
[REJECTED] 1712559280602421172 ('JAK', 'ASK')
[REJECTED] 1712559280602421173 ('JAK', 'ASK')
[REJECTED] 1712559280602421174 ('JAK', 'ASK')
[REJECTED] 1712559280602421175 ('JAK', 'ASK')
[REJECTED] 1712559280602421176 ('JAK', 'ASK')
[REJECTED] 1712559280602421177 ('EPT', 'BID')
[REJECTED] 1712559280602421178 ('EPT', 'ASK')
[REJECTED] 1712559280602421179 ('EPT', 'BID')
[REJECTED] 1712559280602421180 ('EPT', 'ASK')
[REJECTED] 1712559280602421181 ('EPT', 'BID')
[REJECTED] 1712559280602421182 ('EPT', 'ASK')
[REJECTED] 1712559280602421183 ('DLO', 'BID')
[REJECTED] 1712559280602421184 ('DLO', 'ASK')
[REJECTED] 1712559280602421185 ('DLO', 'BID')
[REJECTED] 1712559280602421186 ('DLO', 'ASK')
[REJECTED] 1712559280602421187 ('DLO', 'BID')
[REJECTED] 1712559280602421188 ('MKU', 'BID')
[REJECTED] 1712559280602421189 ('MKU', 'ASK')
[REJECTED] 1712559280602421190 ('MKU', 'BID')
[REJECTED] 1712559280602421191 ('MKU', 'ASK')
[REJECTED] 1712559280602421192 ('MKU', 'BID')
[REJECTED] 1712559280602421193 ('MKU', 'ASK')
[REJECTED] 1712559280602421194 ('IGM', 'BID')
[REJECTED] 1712559280602421195 ('IGM', 'ASK')
[REJECTED] 1712559280602421196 ('IGM', 'BID')
[REJECTED] 1712559280602421197 ('IGM', 'ASK')
[REJECTED] 1712559280602421198 ('IGM', 'BID')
[REJECTED] 1712559280602421199 ('IGM', 'ASK')
[REJECTED] 1712559280602421200 ('BRV', 'BID')
[REJECTED] 1712559280602421201 ('BRV', 'ASK')
[REJECTED] 1712559280602421202 ('BRV', 'BID')
[REJECTED] 1712559280602421203 ('BRV', 'ASK')
[REJECTED] 1712559280602421204 ('BRV', 'BID')
[REJECTED] 1712559280602421205 ('BRV', 'ASK')
1712559280602421094 ('DLO', 'BID') 3 5194
1712559280602421139 ('IGM', 'BID') 10 5780
[REJECTED] 1712559280602421206 ('EPT', 'BID')
[REJECTED] 1712559280602421207 ('EPT', 'ASK')
[REJECTED] 1712559280602421209 ('DLO', 'ASK')
[REJECTED] 1712559280602421210 ('MKU', 'BID')
[REJECTED] 1712559280602421211 ('MKU', 'ASK')
1712559280602421212 ('IGM', 'BID') 3 5730
[REJECTED] 1712559280602421214 ('BRV', 'BID')
[REJECTED] 1712559280602421215 ('BRV', 'ASK')
[REJECTED] 1712559280602421216 ('SCP', 'BID')
[REJECTED] 1712559280602421217 ('SCP', 'ASK')
[REJECTED] 1712559280602421219 ('JAK', 'ASK')
[REJECTED] 1712559280602421220 ('SCP', 'ASK')
[REJECTED] 1712559280602421221 ('SCP', 'ASK')
[REJECTED] 1712559280602421222 ('SCP', 'ASK')
[REJECTED] 1712559280602421223 ('JAK', 'ASK')
[REJECTED] 1712559280602421224 ('JAK', 'ASK')
[REJECTED] 1712559280602421225 ('JAK', 'ASK')
[REJECTED] 1712559280602421226 ('JAK', 'ASK')
[REJECTED] 1712559280602421227 ('JAK', 'ASK')
