1712596776315601920 ('EPT', 'BID') 3 4474 25
1712596776315601923 ('DLO', 'ASK') 3 4868 -367
1712596776315601925 ('MKU', 'ASK') 3 4721 -220
1712596776315601927 ('IGM', 'ASK') 3 4876 -375
1712596776315601929 ('BRV', 'ASK') 3 5239 -738
1712596776315601930 ('EPT', 'BID') 10 4474 5
[REJECTED] 1712596776315601932 ('EPT', 'BID')
[REJECTED] 1712596776315601934 ('EPT', 'BID')
1712596776315601937 ('DLO', 'ASK') 10 4868 -347
1712596776315601939 ('DLO', 'ASK') 10 4868 -327
1712596776315601941 ('DLO', 'ASK') 7 4868 -307
1712596784093605121 ('EPT', 'ASK') 3 4595 -94
1712596784093605123 ('DLO', 'ASK') 3 4851 -350
1712596784093605125 ('MKU', 'ASK') 3 4702 -201
1712596784093605127 ('IGM', 'ASK') 3 4903 -402
1712596784093605129 ('BRV', 'ASK') 3 5287 -786
1712596784093605131 ('EPT', 'ASK') 10 4594 -73
1712596784093605133 ('EPT', 'ASK') 10 4594 -53
1712596784093605135 ('EPT', 'ASK') 10 4594 -33
1712596784093605137 ('DLO', 'ASK') 10 4851 -330
1712596784093605139 ('DLO', 'ASK') 10 4851 -310
1712596784093605141 ('DLO', 'ASK') 10 4851 -290
1712596784093605143 ('MKU', 'ASK') 10 4698 -177
[REJECTED] 1712596784093605145 ('MKU', 'ASK')
[REJECTED] 1712596784093605147 ('MKU', 'ASK')
1712596784093605149 ('IGM', 'ASK') 10 4903 -382
[REJECTED] 1712596784093605151 ('IGM', 'ASK')
[REJECTED] 1712596784093605153 ('IGM', 'ASK')
[REJECTED] 1712596784093605155 ('BRV', 'ASK')
[REJECTED] 1712596784093605157 ('BRV', 'ASK')
[REJECTED] 1712596784093605159 ('BRV', 'ASK')
[CANCELLED] 1712596784093605120 ('EPT', 'BID')
[CANCELLED] 1712596784093605122 ('DLO', 'BID')
[CANCELLED] 1712596784093605124 ('MKU', 'BID')
[CANCELLED] 1712596784093605126 ('IGM', 'BID')
[CANCELLED] 1712596784093605128 ('BRV', 'BID')
[CANCELLED] 1712596784093605130 ('EPT', 'BID')
[CANCELLED] 1712596784093605132 ('EPT', 'BID')
[CANCELLED] 1712596784093605134 ('EPT', 'BID')
[CANCELLED] 1712596784093605136 ('DLO', 'BID')
[CANCELLED] 1712596784093605138 ('DLO', 'BID')
[CANCELLED] 1712596784093605140 ('DLO', 'BID')
[CANCELLED] 1712596784093605142 ('MKU', 'BID')
[CANCELLED] 1712596784093605144 ('MKU', 'BID')
[CANCELLED] 1712596784093605146 ('MKU', 'BID')
[CANCELLED] 1712596784093605148 ('IGM', 'BID')
[CANCELLED] 1712596784093605150 ('IGM', 'BID')
[CANCELLED] 1712596784093605152 ('IGM', 'BID')
[CANCELLED] 1712596784093605154 ('BRV', 'BID')
[CANCELLED] 1712596784093605156 ('BRV', 'BID')
[CANCELLED] 1712596784093605158 ('BRV', 'BID')
1712596784093605164 ('EPT', 'BID') 30 4585 6
1712596788896937473 ('EPT', 'ASK') 3 4510 -9
1712596788896937475 ('DLO', 'ASK') 3 4827 -326
[REJECTED] 1712596788896937476 ('MKU', 'BID')
[REJECTED] 1712596788896937477 ('MKU', 'ASK')
1712596788896937479 ('IGM', 'ASK') 3 4749 -248
[REJECTED] 1712596788896937480 ('BRV', 'BID')
[REJECTED] 1712596788896937481 ('BRV', 'ASK')
1712596788896937489 ('DLO', 'ASK') 10 4827 -306
1712596788896937491 ('DLO', 'ASK') 10 4827 -286
1712596788896937493 ('DLO', 'ASK') 7 4827 -266
1712596791206907905 ('EPT', 'ASK') 3 4551 -50
1712596791206907907 ('DLO', 'ASK') 3 4802 -301
[REJECTED] 1712596791206907908 ('MKU', 'BID')
[REJECTED] 1712596791206907909 ('MKU', 'ASK')
[REJECTED] 1712596791206907911 ('IGM', 'ASK')
1712596791206907913 ('BRV', 'ASK') 3 5261 -760
1712596791206907915 ('EPT', 'ASK') 10 4551 -30
1712596791206907917 ('EPT', 'ASK') 10 4551 -10
1712596791206907921 ('DLO', 'ASK') 10 4802 -281
1712596791206907923 ('DLO', 'ASK') 10 4802 -261
1712596791206907925 ('DLO', 'ASK') 7 4802 -241
1712596794613814017 ('EPT', 'ASK') 3 4552 -51
1712596794613814019 ('DLO', 'ASK') 3 4754 -253
[REJECTED] 1712596794613814020 ('MKU', 'BID')
[REJECTED] 1712596794613814021 ('MKU', 'ASK')
[REJECTED] 1712596794613814023 ('IGM', 'ASK')
1712596794613814025 ('BRV', 'ASK') 3 5219 -718
1712596794613814027 ('EPT', 'ASK') 10 4555 -34
1712596794613814029 ('EPT', 'ASK') 10 4555 -14
[REJECTED] 1712596794613814033 ('DLO', 'ASK')
[REJECTED] 1712596794613814035 ('DLO', 'ASK')
[REJECTED] 1712596794613814037 ('DLO', 'ASK')
[REJECTED] 1712596794613814038 ('MKU', 'BID')
[REJECTED] 1712596794613814039 ('MKU', 'ASK')
[REJECTED] 1712596794613814040 ('MKU', 'BID')
[REJECTED] 1712596794613814041 ('MKU', 'ASK')
[REJECTED] 1712596794613814042 ('MKU', 'BID')
[REJECTED] 1712596794613814043 ('MKU', 'ASK')
[REJECTED] 1712596794613814044 ('IGM', 'BID')
[REJECTED] 1712596794613814045 ('IGM', 'ASK')
[REJECTED] 1712596794613814046 ('IGM', 'BID')
[REJECTED] 1712596794613814047 ('IGM', 'ASK')
[REJECTED] 1712596794613814048 ('IGM', 'BID')
[REJECTED] 1712596794613814049 ('IGM', 'ASK')
[REJECTED] 1712596794613814050 ('BRV', 'BID')
[REJECTED] 1712596794613814051 ('BRV', 'ASK')
[REJECTED] 1712596794613814052 ('BRV', 'BID')
[REJECTED] 1712596794613814053 ('BRV', 'ASK')
[REJECTED] 1712596794613814054 ('BRV', 'BID')
[REJECTED] 1712596794613814055 ('BRV', 'ASK')
1712596794613814031 ('EPT', 'ASK') 10 4561 0
[CANCELLED] 1712596794613814016 ('EPT', 'BID')
[CANCELLED] 1712596794613814018 ('DLO', 'BID')
[CANCELLED] 1712596794613814022 ('IGM', 'BID')
[CANCELLED] 1712596794613814024 ('BRV', 'BID')
[CANCELLED] 1712596794613814026 ('EPT', 'BID')
[CANCELLED] 1712596794613814028 ('EPT', 'BID')
[CANCELLED] 1712596794613814030 ('EPT', 'BID')
[CANCELLED] 1712596794613814032 ('DLO', 'BID')
[CANCELLED] 1712596794613814034 ('DLO', 'BID')
[CANCELLED] 1712596794613814036 ('DLO', 'BID')
1712596794613814056 ('SCP', 'ASK') 24 4876 -5
1712596794613814057 ('SCP', 'ASK') 6 4876 -6
1712596805923600385 ('EPT', 'ASK') 3 4692 -191
1712596805923600387 ('DLO', 'ASK') 3 4706 -205
[REJECTED] 1712596805923600388 ('MKU', 'BID')
[REJECTED] 1712596805923600389 ('MKU', 'ASK')
[REJECTED] 1712596805923600391 ('IGM', 'ASK')
1712596805923600393 ('BRV', 'ASK') 3 4976 -475
1712596805923600395 ('EPT', 'ASK') 10 4688 -167
1712596805923600397 ('EPT', 'ASK') 10 4688 -147
1712596805923600399 ('EPT', 'ASK') 10 4688 -127
1712596805923600401 ('DLO', 'ASK') 10 4706 -185
1712596805923600403 ('DLO', 'ASK') 10 4706 -165
[REJECTED] 1712596805923600405 ('DLO', 'ASK')
[REJECTED] 1712596805923600406 ('MKU', 'BID')
[REJECTED] 1712596805923600407 ('MKU', 'ASK')
[REJECTED] 1712596805923600408 ('MKU', 'BID')
[REJECTED] 1712596805923600409 ('MKU', 'ASK')
[REJECTED] 1712596805923600410 ('MKU', 'BID')
