1712599090467861761 ('EPT', 'ASK') 1 5255 -754
1712599090467861763 ('DLO', 'ASK') 1 5211 -710
1712599090467861765 ('MKU', 'ASK') 1 5383 -882
1712599090467861767 ('IGM', 'ASK') 1 5807 -1306
1712599090467861769 ('BRV', 'ASK') 1 5300 -799
[REJECTED] 1712599090467861770 ('EPT', 'BID')
1712599090467861771 ('EPT', 'ASK') 10 5255 -734
1712599090467861773 ('EPT', 'ASK') 10 5255 -714
1712599090467861775 ('EPT', 'ASK') 9 5255 -694
1712599090467861775 ('EPT', 'ASK') 1 5254 -693
1712599090467861777 ('DLO', 'ASK') 10 5211 -690
1712599090467861779 ('DLO', 'ASK') 10 5211 -670
1712599090467861781 ('DLO', 'ASK') 9 5211 -650
1712599090467861781 ('DLO', 'ASK') 1 5210 -649
[REJECTED] 1712599090467861782 ('MKU', 'BID')
1712599090467861783 ('MKU', 'ASK') 10 5383 -862
1712599090467861785 ('MKU', 'ASK') 10 5383 -842
1712599090467861787 ('MKU', 'ASK') 9 5383 -822
1712599090467861787 ('MKU', 'ASK') 1 5382 -821
1712599090467861789 ('IGM', 'ASK') 10 5807 -1286
1712599090467861791 ('IGM', 'ASK') 10 5807 -1266
1712599090467861793 ('IGM', 'ASK') 9 5807 -1246
1712599090467861793 ('IGM', 'ASK') 1 5806 -1245
[REJECTED] 1712599090467861794 ('BRV', 'BID')
1712599090467861795 ('BRV', 'ASK') 10 5300 -779
1712599090467861797 ('BRV', 'ASK') 10 5300 -759
1712599090467861799 ('BRV', 'ASK') 10 5300 -739
[CANCELLED] 1712599090467861760 ('EPT', 'BID')
[CANCELLED] 1712599090467861762 ('DLO', 'BID')
[CANCELLED] 1712599090467861764 ('MKU', 'BID')
[CANCELLED] 1712599090467861766 ('IGM', 'BID')
[CANCELLED] 1712599090467861768 ('BRV', 'BID')
[CANCELLED] 1712599090467861772 ('EPT', 'BID')
[CANCELLED] 1712599090467861774 ('EPT', 'BID')
[CANCELLED] 1712599090467861776 ('DLO', 'BID')
[CANCELLED] 1712599090467861778 ('DLO', 'BID')
[CANCELLED] 1712599090467861780 ('DLO', 'BID')
[CANCELLED] 1712599090467861784 ('MKU', 'BID')
[CANCELLED] 1712599090467861786 ('MKU', 'BID')
[CANCELLED] 1712599090467861788 ('IGM', 'BID')
[CANCELLED] 1712599090467861790 ('IGM', 'BID')
[CANCELLED] 1712599090467861792 ('IGM', 'BID')
[CANCELLED] 1712599090467861796 ('BRV', 'BID')
[CANCELLED] 1712599090467861798 ('BRV', 'BID')
[CANCELLED] 1712599090467861800 ('EPT', 'BID')
[CANCELLED] 1712599090467861801 ('EPT', 'ASK')
[CANCELLED] 1712599090467861802 ('DLO', 'BID')
[CANCELLED] 1712599090467861803 ('DLO', 'ASK')
[CANCELLED] 1712599090467861804 ('MKU', 'BID')
[CANCELLED] 1712599090467861805 ('MKU', 'ASK')
