1712600119718887959 ('IGM', 'ASK') 10 5819 0
1712600119718887941 ('DLO', 'BID') 3 4841 0
1712600119718887961 ('IGM', 'ASK') 10 5839 0
1712600119718887963 ('IGM', 'ASK') 10 5859 0
[CANCELLED] 1712600119718887936 ('SCP', 'BID')
[CANCELLED] 1712600119718887937 ('SCP', 'BID')
[CANCELLED] 1712600119718887938 ('SCP', 'BID')
[CANCELLED] 1712600119718887939 ('SCP', 'BID')
[CANCELLED] 1712600119718887940 ('EPT', 'BID')
[CANCELLED] 1712600119718887942 ('IGM', 'BID')
[CANCELLED] 1712600119718887943 ('EPT', 'BID')
[CANCELLED] 1712600119718887944 ('EPT', 'ASK')
[CANCELLED] 1712600119718887945 ('EPT', 'BID')
[CANCELLED] 1712600119718887946 ('EPT', 'ASK')
[CANCELLED] 1712600119718887947 ('EPT', 'BID')
[CANCELLED] 1712600119718887948 ('EPT', 'ASK')
[CANCELLED] 1712600119718887949 ('DLO', 'BID')
[CANCELLED] 1712600119718887950 ('DLO', 'ASK')
[CANCELLED] 1712600119718887951 ('DLO', 'BID')
[CANCELLED] 1712600119718887952 ('DLO', 'ASK')
[CANCELLED] 1712600119718887953 ('DLO', 'BID')
[CANCELLED] 1712600119718887954 ('DLO', 'ASK')
[CANCELLED] 1712600119718887955 ('MKU', 'ASK')
[CANCELLED] 1712600119718887956 ('MKU', 'ASK')
[CANCELLED] 1712600119718887957 ('MKU', 'ASK')
[CANCELLED] 1712600119718887958 ('IGM', 'BID')
[CANCELLED] 1712600119718887960 ('IGM', 'BID')
[CANCELLED] 1712600119718887962 ('IGM', 'BID')
[CANCELLED] 1712600119718887964 ('BRV', 'ASK')
[CANCELLED] 1712600119718887965 ('BRV', 'ASK')
[CANCELLED] 1712600119718887966 ('BRV', 'ASK')
1712600119718887967 ('EPT', 'BID') 30 4700 12
1712600119718887967 ('EPT', 'BID') 4 4701 11
1712600119718887969 ('IGM', 'BID') 30 5855 7
1712600119718887969 ('IGM', 'BID') 2 5856 6
[REJECTED] 1712600119718887973 ('IGM', 'BID')
[REJECTED] 1712600119718887975 ('IGM', 'BID')
1712600119718887968 ('DLO', 'BID') 30 4832 0
1712600119718887968 ('DLO', 'BID') 4 4832 0
1712600119718887971 ('MKU', 'ASK') 10 4475 0
[CANCELLED] 1712600119718887970 ('DLO', 'BID')
[CANCELLED] 1712600119718887972 ('MKU', 'ASK')
[CANCELLED] 1712600119718887974 ('IGM', 'ASK')
[CANCELLED] 1712600119718887976 ('IGM', 'ASK')
[CANCELLED] 1712600119718887977 ('IGM', 'BID')
[CANCELLED] 1712600119718887978 ('BRV', 'ASK')
[CANCELLED] 1712600119718887979 ('BRV', 'ASK')
1712600119718887980 ('EPT', 'BID') 9 4641 22
[REJECTED] 1712600119718887984 ('EPT', 'BID')
[REJECTED] 1712600119718887986 ('EPT', 'BID')
[REJECTED] 1712600119718887988 ('EPT', 'BID')
1712600119718888001 ('IGM', 'ASK') 10 5876 0
1712600119718887983 ('IGM', 'BID') 4 5847 0
[CANCELLED] 1712600119718887981 ('DLO', 'BID')
[CANCELLED] 1712600119718887982 ('MKU', 'BID')
[CANCELLED] 1712600119718887985 ('EPT', 'ASK')
[CANCELLED] 1712600119718887987 ('EPT', 'ASK')
[CANCELLED] 1712600119718887989 ('EPT', 'ASK')
[CANCELLED] 1712600119718887990 ('DLO', 'BID')
[CANCELLED] 1712600119718887991 ('DLO', 'ASK')
[CANCELLED] 1712600119718887992 ('DLO', 'BID')
