1712600391356146432 ('SCP', 'ASK') 24 5480 -16
1712600391356146433 ('SCP', 'ASK') 6 5480 -17
1712600391356146433 ('SCP', 'ASK') 26 5479 -16
1712600391356146434 ('SCP', 'ASK') 14 5479 -17
1712600391356146434 ('SCP', 'ASK') 26 5478 -16
1712600391356146435 ('SCP', 'ASK') 4 5478 -17
1712600391356146437 ('DLO', 'BID') 1 4843 5
1712600391356146466 ('BRV', 'ASK') 10 5685 -21
1712600391356146468 ('BRV', 'ASK') 10 5684 0
1712600391356146442 ('EPT', 'ASK') 10 4755 0
1712600391356146447 ('DLO', 'BID') 10 4828 0
[CANCELLED] 1712600391356146436 ('EPT', 'BID')
[CANCELLED] 1712600391356146438 ('MKU', 'BID')
[CANCELLED] 1712600391356146439 ('IGM', 'BID')
[CANCELLED] 1712600391356146440 ('BRV', 'BID')
[CANCELLED] 1712600391356146441 ('EPT', 'BID')
[CANCELLED] 1712600391356146443 ('EPT', 'BID')
[CANCELLED] 1712600391356146444 ('EPT', 'ASK')
[CANCELLED] 1712600391356146445 ('EPT', 'BID')
[CANCELLED] 1712600391356146446 ('EPT', 'ASK')
[CANCELLED] 1712600391356146448 ('DLO', 'ASK')
[CANCELLED] 1712600391356146449 ('DLO', 'BID')
[CANCELLED] 1712600391356146450 ('DLO', 'ASK')
[CANCELLED] 1712600391356146451 ('DLO', 'BID')
[CANCELLED] 1712600391356146452 ('DLO', 'ASK')
[CANCELLED] 1712600391356146453 ('MKU', 'BID')
[CANCELLED] 1712600391356146454 ('MKU', 'ASK')
[CANCELLED] 1712600391356146455 ('MKU', 'BID')
[CANCELLED] 1712600391356146456 ('MKU', 'ASK')
[CANCELLED] 1712600391356146457 ('MKU', 'BID')
[CANCELLED] 1712600391356146458 ('MKU', 'ASK')
[CANCELLED] 1712600391356146459 ('IGM', 'BID')
[CANCELLED] 1712600391356146460 ('IGM', 'ASK')
[CANCELLED] 1712600391356146461 ('IGM', 'BID')
[CANCELLED] 1712600391356146462 ('IGM', 'ASK')
[CANCELLED] 1712600391356146463 ('IGM', 'BID')
[CANCELLED] 1712600391356146464 ('IGM', 'ASK')
[CANCELLED] 1712600391356146465 ('BRV', 'BID')
[CANCELLED] 1712600391356146467 ('BRV', 'BID')
[CANCELLED] 1712600391356146469 ('BRV', 'BID')
[CANCELLED] 1712600391356146470 ('BRV', 'ASK')
1712600391356146471 ('EPT', 'BID') 30 4742 2
1712600391356146471 ('EPT', 'BID') 1 4743 1
1712600391356146472 ('DLO', 'BID') 30 4827 3
1712600391356146472 ('DLO', 'BID') 1 4828 2
1712600391356146474 ('IGM', 'BID') 32 5624 40
