1712652724528383488 ('EPT', <Side.SELL: 2>) 1 4368 -4367
1712652724528383489 ('DLO', <Side.SELL: 2>) 1 5123 -5122
1712652724528383490 ('MKU', <Side.SELL: 2>) 1 4639 -4638
1712652724528383492 ('BRV', <Side.SELL: 2>) 1 5027 -5026
1712652724528383491 ('IGM', <Side.SELL: 2>) 1 1 0
[REJECTED] 1712652724528383494 ('SCP', <Side.SELL: 2>)
[REJECTED] 1712652724528383495 ('SCP', <Side.SELL: 2>)
[REJECTED] 1712652724528383496 ('SCP', <Side.SELL: 2>)
[REJECTED] 1712652724528383497 ('SCP', <Side.SELL: 2>)
[REJECTED] 1712652724528383498 ('SCP', <Side.SELL: 2>)
[REJECTED] 1712652724528383500 ('JAK', <Side.SELL: 2>)
[REJECTED] 1712652724528383501 ('JAK', <Side.SELL: 2>)
[REJECTED] 1712652724528383502 ('JAK', <Side.SELL: 2>)
[REJECTED] 1712652724528383504 ('JAK', <Side.SELL: 2>)
[REJECTED] 1712652724528383505 ('JAK', <Side.SELL: 2>)
[REJECTED] 1712652724528383506 ('JAK', <Side.SELL: 2>)
[REJECTED] 1712652724528383507 ('JAK', <Side.SELL: 2>)
[REJECTED] 1712652724528383508 ('JAK', <Side.SELL: 2>)
[REJECTED] 1712652724528383509 ('JAK', <Side.SELL: 2>)
[REJECTED] 1712652724528383510 ('JAK', <Side.SELL: 2>)
[REJECTED] 1712652724528383511 ('JAK', <Side.SELL: 2>)
[REJECTED] 1712652724528383512 ('JAK', <Side.SELL: 2>)
[REJECTED] 1712652724528383513 ('JAK', <Side.SELL: 2>)
[REJECTED] 1712652724528383514 ('JAK', <Side.SELL: 2>)
[REJECTED] 1712652724528383515 ('JAK', <Side.SELL: 2>)
[REJECTED] 1712652724528383516 ('JAK', <Side.SELL: 2>)
[REJECTED] 1712652724528383517 ('JAK', <Side.SELL: 2>)
[REJECTED] 1712652724528383518 ('JAK', <Side.SELL: 2>)
[REJECTED] 1712652724528383519 ('JAK', <Side.SELL: 2>)
[REJECTED] 1712652724528383520 ('JAK', <Side.SELL: 2>)
[REJECTED] 1712652724528383521 ('JAK', <Side.SELL: 2>)
[REJECTED] 1712652724528383522 ('JAK', <Side.SELL: 2>)
[REJECTED] 1712652724528383523 ('JAK', <Side.SELL: 2>)
[REJECTED] 1712652724528383524 ('JAK', <Side.SELL: 2>)
[REJECTED] 1712652724528383525 ('JAK', <Side.SELL: 2>)
[REJECTED] 1712652724528383526 ('JAK', <Side.SELL: 2>)
[REJECTED] 1712652724528383527 ('JAK', <Side.SELL: 2>)
[REJECTED] 1712652724528383528 ('JAK', <Side.SELL: 2>)
[REJECTED] 1712652724528383529 ('JAK', <Side.SELL: 2>)
[REJECTED] 1712652724528383530 ('JAK', <Side.SELL: 2>)
[REJECTED] 1712652724528383531 ('JAK', <Side.SELL: 2>)
[REJECTED] 1712652724528383532 ('JAK', <Side.SELL: 2>)
[REJECTED] 1712652724528383533 ('JAK', <Side.SELL: 2>)
[REJECTED] 1712652724528383534 ('JAK', <Side.SELL: 2>)
[REJECTED] 1712652724528383535 ('JAK', <Side.SELL: 2>)
1712652724528383538 ('MKU', <Side.SELL: 2>) 2 4632 -2
1712652724528383536 ('EPT', <Side.SELL: 2>) 2 4403 0
1712652724528383499 ('JAK', <Side.SELL: 2>) 64 4856 0
1712652729064779520 ('EPT', <Side.SELL: 2>) 1 4422 -4421
1712652729064779521 ('DLO', <Side.SELL: 2>) 1 5158 -5157
1712652729064779522 ('MKU', <Side.SELL: 2>) 1 4674 -4673
1712652729064779523 ('IGM', <Side.SELL: 2>) 1 5277 -5276
1712652729064779524 ('BRV', <Side.SELL: 2>) 1 4860 -4859
[REJECTED] 1712652729064779525 ('SCP', <Side.SELL: 2>)
[REJECTED] 1712652729064779526 ('SCP', <Side.SELL: 2>)
[REJECTED] 1712652729064779527 ('SCP', <Side.SELL: 2>)
