[REJECTED] 1712706408615129610 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706408615129616 ('DLO', <Side.SELL: 2>)
1712706408615129602 ('MKU', <Side.BUY: 1>) 12 5084 0
1712706408615129600 ('EPT', <Side.BUY: 1>) 11 4936 0
1712706408615129604 ('BRV', <Side.BUY: 1>) 14 5113 0
1712706408615129617 ('MKU', <Side.BUY: 1>) 2 5064 0
1712706408615129629 ('BRV', <Side.BUY: 1>) 2 5093 0
[REJECTED] 1712706408615129636 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706408615129638 ('IGM', <Side.BUY: 1>)
1712706408615129603 ('IGM', <Side.BUY: 1>) 13 5352 0
1712706408615129635 ('EPT', <Side.BUY: 1>) 10 4923 0
1712706408615129601 ('DLO', <Side.BUY: 1>) 10 4909 0
1712706408615129605 ('EPT', <Side.BUY: 1>) 2 4916 0
1712706408615129637 ('MKU', <Side.BUY: 1>) 11 5065 0
1712706408615129623 ('IGM', <Side.BUY: 1>) 2 5332 0
1712706408615129641 ('MKU', <Side.BUY: 1>) 11 5059 7
1712706408615129642 ('IGM', <Side.BUY: 1>) 11 5317 16
1712706408615129643 ('BRV', <Side.BUY: 1>) 12 5083 13
[REJECTED] 1712706408615129645 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706408615129646 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706408615129647 ('EPT', <Side.SELL: 2>)
1712706408615129625 ('IGM', <Side.BUY: 1>) 2 5312 0
1712706408615129631 ('BRV', <Side.BUY: 1>) 2 5073 0
[REJECTED] 1712706408615129648 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706408615129649 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706408615129653 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706408615129654 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706408615129655 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706408615129656 ('EPT', <Side.SELL: 2>)
1712706408615129652 ('BRV', <Side.BUY: 1>) 11 5054 0
1712706408615129633 ('BRV', <Side.BUY: 1>) 2 5053 0
1712706408615129640 ('DLO', <Side.BUY: 1>) 9 4893 0
1712706408615129650 ('MKU', <Side.BUY: 1>) 9 5045 0
1712706408615129619 ('MKU', <Side.BUY: 1>) 2 5044 0
1712706408615129611 ('DLO', <Side.BUY: 1>) 2 4889 0
1712706408615129621 ('MKU', <Side.BUY: 1>) 2 5024 0
