[REJECTED] 1712706515662629632 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706515662629633 ('DLO', <Side.BUY: 1>)
1712706515662629634 ('MKU', <Side.BUY: 1>) 2 5462 13
1712706515662629635 ('IGM', <Side.BUY: 1>) 4 5295 5
[REJECTED] 1712706515662629636 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706515662629637 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706515662629638 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706515662629639 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706515662629640 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706515662629641 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706515662629642 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706515662629643 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706515662629644 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706515662629645 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706515662629646 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706515662629647 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706515662629648 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706515662629650 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706515662629651 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706515662629652 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706515662629653 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706515662629654 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706515662629656 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706515662629657 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706515662629658 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706515662629659 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706515662629660 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706515662629661 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706515662629662 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706515662629663 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706515662629664 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706515662629665 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706515662629666 ('BRV', <Side.SELL: 2>)
1712706515662629649 ('MKU', <Side.BUY: 1>) 2 5455 0
1712706515662629655 ('IGM', <Side.BUY: 1>) 2 5280 0
[REJECTED] 1712706515662629667 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706515662629668 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706515662629671 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706515662629672 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706515662629673 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706515662629674 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706515662629675 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706515662629676 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706515662629677 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706515662629678 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706515662629679 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706515662629680 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706515662629681 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706515662629682 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706515662629683 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706515662629684 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706515662629685 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706515662629686 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706515662629687 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706515662629688 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706515662629689 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706515662629690 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706515662629691 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706515662629692 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706515662629693 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706515662629694 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706515662629695 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706515662629696 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706515662629697 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706515662629698 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706515662629699 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706515662629700 ('BRV', <Side.BUY: 1>)
