1712712283294821888 ('EPT', <Side.BUY: 1>) 1 4559 0
1712712283294821918 ('BRV', <Side.SELL: 2>) 2 5446 0
1712712283294821912 ('IGM', <Side.SELL: 2>) 2 6021 0
1712712283294821890 ('MKU', <Side.BUY: 1>) 1 5092 0
1712712283294821892 ('BRV', <Side.BUY: 1>) 1 5402 0
[CANCELLED] 1712712283294821893 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712712283294821894 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712712283294821895 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712712283294821896 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712712283294821897 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712712283294821898 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712712283294821889 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712712283294821899 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712712283294821900 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712712283294821901 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712712283294821902 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712712283294821903 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712712283294821904 ('DLO', <Side.SELL: 2>)
1712712283294821924 ('DLO', <Side.BUY: 1>) 1 5017 15
[CANCELLED] 1712712283294821905 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712712283294821906 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712712283294821907 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712712283294821908 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712712283294821909 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712712283294821910 ('MKU', <Side.SELL: 2>)
1712712283294821925 ('MKU', <Side.BUY: 1>) 1 5081 41
[CANCELLED] 1712712283294821891 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712712283294821911 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712712283294821913 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712712283294821914 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712712283294821915 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712712283294821916 ('IGM', <Side.SELL: 2>)
1712712283294821926 ('IGM', <Side.BUY: 1>) 1 5993 37
[CANCELLED] 1712712283294821917 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712712283294821919 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712712283294821920 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712712283294821921 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712712283294821922 ('BRV', <Side.SELL: 2>)
