[CANCELLED] 1712713202569285888 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713202569285893 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713202569285894 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713202569285895 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713202569285896 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713202569285897 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713202569285898 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713202569285889 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713202569285899 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713202569285900 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712713202569285901 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713202569285902 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712713202569285903 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713202569285904 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712713202569285890 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712713202569285905 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712713202569285906 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712713202569285907 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712713202569285908 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712713202569285909 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712713202569285910 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712713202569285891 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712713202569285911 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712713202569285912 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712713202569285913 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712713202569285914 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712713202569285915 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712713202569285916 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712713202569285892 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712713202569285917 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712713202569285918 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712713202569285919 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712713202569285920 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712713202569285921 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712713202569285922 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712713202569285923 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713202569285928 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713202569285929 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713202569285930 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713202569285931 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713202569285932 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713202569285933 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713202569285924 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713202569285934 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713202569285935 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712713202569285936 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713202569285937 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712713202569285938 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713202569285939 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712713202569285925 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712713202569285940 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712713202569285941 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712713202569285942 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712713202569285943 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712713202569285944 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712713202569285945 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712713202569285926 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712713202569285946 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712713202569285947 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712713202569285948 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712713202569285949 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712713202569285950 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712713202569285951 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712713202569285927 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712713202569285952 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712713202569285953 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713202569285958 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713202569285959 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713202569285960 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713202569285961 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713202569285962 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713202569285963 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713202569285954 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713202569285964 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713202569285965 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712713202569285966 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713202569285967 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712713202569285968 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713202569285969 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712713202569285955 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712713202569285970 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712713202569285971 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712713202569285972 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712713202569285973 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712713202569285974 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712713202569285975 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712713202569285956 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712713202569285976 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712713202569285977 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712713202569285978 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712713202569285979 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712713202569285980 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712713202569285981 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712713202569285957 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712713202569285982 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712713202569285983 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712713202569285984 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712713202569285985 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712713202569285986 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712713202569285987 ('BRV', <Side.SELL: 2>)
1712713214515791360 ('EPT', <Side.BUY: 1>) 1 4740 18
1712713214515791361 ('DLO', <Side.BUY: 1>) 1 4948 0
1712713214515791362 ('MKU', <Side.BUY: 1>) 1 4981 23
1712713214515791363 ('IGM', <Side.BUY: 1>) 1 5601 39
1712713214515791364 ('BRV', <Side.BUY: 1>) 1 5126 17
1712713214515791377 ('MKU', <Side.BUY: 1>) 2 4981 3
1712713214515791383 ('IGM', <Side.BUY: 1>) 2 5601 19
1712713214515791385 ('IGM', <Side.BUY: 1>) 2 5600 0
1712713214515791387 ('IGM', <Side.BUY: 1>) 2 5580 0
1712713214515791389 ('BRV', <Side.BUY: 1>) 2 5123 0
1712713214515791366 ('EPT', <Side.SELL: 2>) 2 4793 0
1712713214515791368 ('EPT', <Side.SELL: 2>) 2 4813 0
1712713214515791370 ('EPT', <Side.SELL: 2>) 2 4833 0
[CANCELLED] 1712713214515791365 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515791367 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515791369 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515791371 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713214515791372 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712713214515791373 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713214515791374 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712713214515791375 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713214515791376 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712713214515791378 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712713214515791379 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712713214515791380 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712713214515791381 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712713214515791382 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712713214515791384 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712713214515791386 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712713214515791388 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712713214515791390 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712713214515791391 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712713214515791392 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712713214515791393 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712713214515791394 ('BRV', <Side.SELL: 2>)
1712713214515791396 ('DLO', <Side.BUY: 1>) 1 4940 3
1712713214515791398 ('IGM', <Side.BUY: 1>) 1 5450 105
1712713214515791401 ('EPT', <Side.SELL: 2>) 2 4824 -31
1712713214515791403 ('EPT', <Side.SELL: 2>) 2 4824 -11
1712713214515791399 ('BRV', <Side.BUY: 1>) 1 5123 0
[CANCELLED] 1712713214515791395 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515791400 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515791402 ('EPT', <Side.BUY: 1>)
1712713214515791405 ('DLO', <Side.BUY: 1>) 1 4962 2
[CANCELLED] 1712713214515791397 ('MKU', <Side.BUY: 1>)
1712713214515791407 ('IGM', <Side.BUY: 1>) 1 5368 142
1712713214515791408 ('BRV', <Side.BUY: 1>) 1 5146 55
1712713214515791410 ('EPT', <Side.SELL: 2>) 2 4896 -72
1712713214515791412 ('EPT', <Side.SELL: 2>) 2 4896 -52
1712713214515791414 ('EPT', <Side.SELL: 2>) 2 4896 -32
1712713214515791427 ('IGM', <Side.BUY: 1>) 2 5368 122
1712713214515791429 ('IGM', <Side.BUY: 1>) 2 5368 102
1712713214515791431 ('IGM', <Side.BUY: 1>) 2 5368 82
[CANCELLED] 1712713214515791404 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515791409 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515791411 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515791413 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515791415 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713214515791416 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712713214515791417 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713214515791418 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712713214515791419 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713214515791420 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712713214515791406 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712713214515791421 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712713214515791422 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712713214515791423 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712713214515791424 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712713214515791425 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712713214515791426 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712713214515791428 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712713214515791430 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712713214515791432 ('IGM', <Side.SELL: 2>)
1712713214515791436 ('IGM', <Side.BUY: 1>) 1 5309 56
[CANCELLED] 1712713214515791433 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515791438 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515791434 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713214515791435 ('MKU', <Side.BUY: 1>)
1712713214515791442 ('IGM', <Side.BUY: 1>) 1 5282 50
[CANCELLED] 1712713214515791437 ('BRV', <Side.BUY: 1>)
1712713214515791445 ('EPT', <Side.SELL: 2>) 2 4947 0
[CANCELLED] 1712713214515791439 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515791444 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515791446 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515791447 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713214515791448 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515791449 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713214515791440 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713214515791450 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713214515791451 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712713214515791441 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712713214515791443 ('BRV', <Side.BUY: 1>)
1712713214515791470 ('MKU', <Side.SELL: 2>) 2 5126 0
1712713214515791464 ('DLO', <Side.SELL: 2>) 2 4996 0
1712713214515791472 ('MKU', <Side.SELL: 2>) 2 5146 0
[CANCELLED] 1712713214515791452 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515791457 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515791458 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713214515791459 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515791460 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713214515791461 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515791462 ('EPT', <Side.SELL: 2>)
1712713214515791474 ('EPT', <Side.BUY: 1>) 1 4937 6
[CANCELLED] 1712713214515791453 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713214515791463 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713214515791465 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713214515791466 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712713214515791467 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713214515791468 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712713214515791454 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712713214515791469 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712713214515791471 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712713214515791473 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712713214515791455 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712713214515791456 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712713214515791479 ('EPT', <Side.BUY: 1>)
1712713214515791480 ('EPT', <Side.BUY: 1>) 1 4930 0
[CANCELLED] 1712713214515791475 ('DLO', <Side.BUY: 1>)
1712713214515791481 ('DLO', <Side.BUY: 1>) 1 5000 11
[CANCELLED] 1712713214515791476 ('MKU', <Side.BUY: 1>)
1712713214515791482 ('MKU', <Side.BUY: 1>) 1 5170 18
[CANCELLED] 1712713214515791477 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712713214515791478 ('BRV', <Side.BUY: 1>)
1712713214515791484 ('BRV', <Side.BUY: 1>) 1 5261 25
1712713214515791491 ('DLO', <Side.BUY: 1>) 2 4991 0
[CANCELLED] 1712713214515791485 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515791486 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713214515791487 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515791488 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713214515791489 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515791490 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713214515791492 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712713214515791493 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713214515791494 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712713214515791495 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713214515791483 ('IGM', <Side.BUY: 1>)
1712713214515791514 ('MKU', <Side.SELL: 2>) 2 5225 -19
[CANCELLED] 1712713214515791496 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515791501 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515791502 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713214515791503 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515791504 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713214515791505 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515791506 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713214515791497 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713214515791507 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713214515791508 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712713214515791509 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713214515791510 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712713214515791511 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713214515791512 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712713214515791498 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712713214515791513 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712713214515791499 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712713214515791500 ('BRV', <Side.BUY: 1>)
1712713214515791518 ('IGM', <Side.BUY: 1>) 1 5324 0
1712713214515791515 ('EPT', <Side.BUY: 1>) 1 4946 0
1712713214515791517 ('MKU', <Side.BUY: 1>) 1 5172 0
1712713214515791519 ('BRV', <Side.BUY: 1>) 1 5250 0
1712713214515791516 ('DLO', <Side.BUY: 1>) 1 4993 0
1712713214515791520 ('EPT', <Side.BUY: 1>) 2 4926 0
[CANCELLED] 1712713214515791521 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713214515791522 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515791523 ('EPT', <Side.SELL: 2>)
1712713214515791524 ('EPT', <Side.BUY: 1>) 1 4928 12
1712713214515791525 ('DLO', <Side.BUY: 1>) 1 4988 27
1712713214515791526 ('MKU', <Side.BUY: 1>) 1 5115 67
1712713214515791528 ('BRV', <Side.BUY: 1>) 1 5186 81
1712713214515791535 ('DLO', <Side.BUY: 1>) 2 4988 7
1712713214515791529 ('EPT', <Side.BUY: 1>) 2 4920 0
1712713214515791531 ('EPT', <Side.BUY: 1>) 2 4900 0
[CANCELLED] 1712713214515791530 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713214515791532 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713214515791533 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515791534 ('EPT', <Side.SELL: 2>)
1712713214515791538 ('EPT', <Side.BUY: 1>) 1 4903 24
[CANCELLED] 1712713214515791536 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712713214515791537 ('DLO', <Side.BUY: 1>)
1712713214515791540 ('MKU', <Side.BUY: 1>) 1 5101 11
[CANCELLED] 1712713214515791527 ('IGM', <Side.BUY: 1>)
1712713214515791543 ('EPT', <Side.BUY: 1>) 2 4897 10
1712713214515791545 ('EPT', <Side.BUY: 1>) 2 4887 0
1712713214515791542 ('BRV', <Side.BUY: 1>) 1 5177 0
[CANCELLED] 1712713214515791544 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713214515791546 ('EPT', <Side.SELL: 2>)
