1712715259482565892 ('BRV', <Side.BUY: 1>) 1 5384 4
1712715259482565906 ('MKU', <Side.SELL: 2>) 2 4989 0
1712715259482565918 ('BRV', <Side.SELL: 2>) 2 5414 0
1712715259482565900 ('DLO', <Side.SELL: 2>) 2 4974 0
1712715259482565912 ('IGM', <Side.SELL: 2>) 2 6131 0
1712715259482565920 ('BRV', <Side.SELL: 2>) 2 5434 0
1712715259482565922 ('BRV', <Side.SELL: 2>) 2 5454 0
1712715259482565908 ('MKU', <Side.SELL: 2>) 2 5009 0
1712715259482565910 ('MKU', <Side.SELL: 2>) 2 5029 0
1712715259482565902 ('DLO', <Side.SELL: 2>) 2 4994 0
1712715259482565914 ('IGM', <Side.SELL: 2>) 2 6151 0
1712715259482565888 ('EPT', <Side.BUY: 1>) 1 4317 0
1712715259482565916 ('IGM', <Side.SELL: 2>) 2 6171 0
[CANCELLED] 1712715259482565917 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712715259482565919 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712715259482565921 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712715259482565893 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715259482565894 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712715259482565895 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715259482565896 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712715259482565897 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715259482565898 ('EPT', <Side.SELL: 2>)
1712715259482565924 ('EPT', <Side.BUY: 1>) 1 4306 12
[CANCELLED] 1712715259482565889 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715259482565899 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715259482565901 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715259482565903 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715259482565904 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712715259482565890 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715259482565905 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715259482565907 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715259482565909 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715259482565891 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712715259482565911 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712715259482565913 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712715259482565915 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712715259482565923 ('BRV', <Side.BUY: 1>)
1712715259482565942 ('MKU', <Side.SELL: 2>) 1 5058 -7
1712715259482565929 ('EPT', <Side.BUY: 1>) 2 4298 0
1712715259482565931 ('EPT', <Side.BUY: 1>) 2 4278 0
[CANCELLED] 1712715259482565930 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712715259482565932 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712715259482565933 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715259482565934 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712715259482565925 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715259482565935 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715259482565936 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712715259482565937 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715259482565938 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712715259482565939 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715259482565926 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715259482565941 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715259482565927 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712715259482565928 ('BRV', <Side.BUY: 1>)
1712715259482565967 ('IGM', <Side.SELL: 2>) 2 6260 0
1712715259482565943 ('EPT', <Side.BUY: 1>) 1 4259 0
1712715259482565945 ('MKU', <Side.BUY: 1>) 1 5066 0
1712715259482565969 ('IGM', <Side.SELL: 2>) 2 6280 0
1712715259482565947 ('BRV', <Side.BUY: 1>) 1 5593 0
[CANCELLED] 1712715259482565948 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715259482565949 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712715259482565950 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715259482565951 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712715259482565952 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715259482565953 ('EPT', <Side.SELL: 2>)
1712715259482565978 ('EPT', <Side.BUY: 1>) 1 4243 1
[CANCELLED] 1712715259482565940 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712715259482565944 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715259482565954 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715259482565955 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712715259482565956 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715259482565957 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712715259482565958 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715259482565959 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712715259482565960 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715259482565961 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712715259482565962 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715259482565963 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712715259482565964 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715259482565965 ('MKU', <Side.SELL: 2>)
1712715259482565980 ('MKU', <Side.BUY: 1>) 1 5053 14
[CANCELLED] 1712715259482565946 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712715259482565966 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712715259482565968 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712715259482565970 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712715259482565971 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712715259482565972 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712715259482565973 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712715259482565974 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712715259482565975 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712715259482565976 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712715259482565977 ('BRV', <Side.SELL: 2>)
