[REJECTED] 1712716296886696720 ('DLO', <Side.SELL: 2>)
1712716296886696704 ('EPT', <Side.BUY: 1>) 1 5171 0
[CANCELLED] 1712716296886696709 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716296886696710 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716296886696711 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716296886696712 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716296886696713 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716296886696714 ('EPT', <Side.SELL: 2>)
1712716296886696739 ('EPT', <Side.BUY: 1>) 1 5171 1
[CANCELLED] 1712716296886696705 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716296886696715 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716296886696716 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716296886696717 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716296886696718 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716296886696719 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716296886696706 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716296886696721 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716296886696722 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716296886696723 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716296886696724 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716296886696725 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716296886696726 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716296886696707 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716296886696727 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716296886696728 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716296886696729 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716296886696730 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716296886696731 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716296886696732 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716296886696708 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716296886696733 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716296886696734 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712716296886696735 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716296886696736 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712716296886696737 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716296886696738 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712716296886696755 ('DLO', <Side.SELL: 2>)
1712716296886696769 ('BRV', <Side.SELL: 2>) 2 5224 0
1712716296886696744 ('EPT', <Side.BUY: 1>) 2 5152 0
1712716296886696763 ('IGM', <Side.SELL: 2>) 2 4780 0
1712716296886696765 ('IGM', <Side.SELL: 2>) 2 4800 0
1712716296886696746 ('EPT', <Side.BUY: 1>) 2 5132 0
1712716296886696767 ('IGM', <Side.SELL: 2>) 2 4820 0
1712716296886696757 ('MKU', <Side.SELL: 2>) 2 5237 0
[CANCELLED] 1712716296886696745 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716296886696747 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716296886696748 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716296886696749 ('EPT', <Side.SELL: 2>)
1712716296886696770 ('EPT', <Side.BUY: 1>) 1 5127 6
[CANCELLED] 1712716296886696740 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716296886696750 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716296886696751 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716296886696752 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716296886696753 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716296886696754 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716296886696741 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716296886696756 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716296886696758 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716296886696759 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716296886696760 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716296886696761 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716296886696742 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716296886696762 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716296886696764 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716296886696766 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716296886696743 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716296886696768 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712716296886696786 ('DLO', <Side.SELL: 2>)
1712716296886696794 ('IGM', <Side.SELL: 2>) 2 4841 -9
1712716296886696800 ('BRV', <Side.SELL: 2>) 2 5289 -10
1712716296886696796 ('IGM', <Side.SELL: 2>) 2 4852 0
1712716296886696802 ('BRV', <Side.SELL: 2>) 2 5299 0
1712716296886696788 ('MKU', <Side.SELL: 2>) 2 5256 0
1712716296886696775 ('EPT', <Side.BUY: 1>) 2 5113 0
1712716296886696798 ('IGM', <Side.SELL: 2>) 2 4872 0
1712716296886696804 ('BRV', <Side.SELL: 2>) 2 5319 0
[CANCELLED] 1712716296886696776 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716296886696777 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716296886696778 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716296886696779 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716296886696780 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716296886696771 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716296886696781 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716296886696782 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716296886696783 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716296886696784 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716296886696785 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716296886696772 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716296886696787 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716296886696789 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716296886696790 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716296886696791 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716296886696792 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716296886696773 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716296886696793 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716296886696795 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716296886696797 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716296886696774 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716296886696799 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716296886696801 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716296886696803 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712716296886696821 ('DLO', <Side.SELL: 2>)
1712716296886696835 ('BRV', <Side.SELL: 2>) 2 5339 0
1712716296886696808 ('IGM', <Side.BUY: 1>) 1 4875 0
1712716296886696828 ('IGM', <Side.BUY: 1>) 2 4855 0
[CANCELLED] 1712716296886696805 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716296886696810 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716296886696811 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716296886696812 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716296886696813 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716296886696814 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716296886696815 ('EPT', <Side.SELL: 2>)
1712716296886696840 ('EPT', <Side.BUY: 1>) 1 5115 4
[CANCELLED] 1712716296886696806 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716296886696816 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716296886696817 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716296886696818 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716296886696819 ('DLO', <Side.SELL: 2>)
