1712717966233274882 ('MKU', <Side.BUY: 1>) 1 5036 1
1712717966233274883 ('IGM', <Side.BUY: 1>) 1 5521 12
1712717966233274884 ('BRV', <Side.BUY: 1>) 1 5183 27
1712717966233274909 ('BRV', <Side.BUY: 1>) 2 5183 7
1712717966233274903 ('IGM', <Side.BUY: 1>) 2 5513 0
1712717966233274911 ('BRV', <Side.BUY: 1>) 2 5170 0
1712717966233274881 ('DLO', <Side.BUY: 1>) 1 5008 0
[CANCELLED] 1712717966233274880 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717966233274885 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717966233274886 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712717966233274887 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717966233274888 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712717966233274889 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717966233274890 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712717966233274891 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717966233274892 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712717966233274893 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717966233274894 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712717966233274895 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717966233274896 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712717966233274897 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712717966233274898 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712717966233274899 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712717966233274900 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712717966233274901 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712717966233274902 ('MKU', <Side.SELL: 2>)
1712717966233274917 ('MKU', <Side.BUY: 1>) 1 5018 2
[CANCELLED] 1712717966233274904 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712717966233274905 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712717966233274906 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712717966233274907 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712717966233274908 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712717966233274910 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712717966233274912 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712717966233274913 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712717966233274914 ('BRV', <Side.SELL: 2>)
1712717966233274919 ('BRV', <Side.BUY: 1>) 1 5163 11
1712717966233274918 ('IGM', <Side.BUY: 1>) 1 5534 0
1712717966233274916 ('DLO', <Side.BUY: 1>) 1 5009 0
1712717966233274944 ('BRV', <Side.BUY: 1>) 2 5154 0
1712717966233274946 ('BRV', <Side.BUY: 1>) 2 5134 0
1712717966233274932 ('MKU', <Side.BUY: 1>) 2 5000 0
1712717966233274938 ('IGM', <Side.BUY: 1>) 2 5514 0
1712717966233274948 ('BRV', <Side.BUY: 1>) 2 5114 0
1712717966233274934 ('MKU', <Side.BUY: 1>) 2 4980 0
1712717966233274926 ('DLO', <Side.BUY: 1>) 2 4989 0
1712717966233274940 ('IGM', <Side.BUY: 1>) 2 5494 0
1712717966233274936 ('MKU', <Side.BUY: 1>) 2 4960 0
[CANCELLED] 1712717966233274915 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717966233274920 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717966233274921 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712717966233274922 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717966233274923 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712717966233274924 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717966233274925 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712717966233274927 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712717966233274928 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717966233274929 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712717966233274930 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717966233274931 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712717966233274933 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712717966233274935 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712717966233274937 ('MKU', <Side.SELL: 2>)
1712717966233274952 ('MKU', <Side.BUY: 1>) 1 4956 5
[CANCELLED] 1712717966233274939 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712717966233274941 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712717966233274942 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712717966233274943 ('IGM', <Side.SELL: 2>)
1712717966233274953 ('IGM', <Side.BUY: 1>) 1 5491 4
[CANCELLED] 1712717966233274945 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712717966233274947 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712717966233274949 ('BRV', <Side.SELL: 2>)
1712717966233274954 ('BRV', <Side.BUY: 1>) 1 5066 3
1712717966233274973 ('IGM', <Side.BUY: 1>) 2 5475 0
1712717966233274980 ('BRV', <Side.SELL: 2>) 2 5107 0
[CANCELLED] 1712717966233274950 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717966233274955 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717966233274956 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712717966233274957 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717966233274958 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712717966233274959 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717966233274960 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712717966233274951 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717966233274961 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717966233274962 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712717966233274963 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717966233274964 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712717966233274965 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717966233274966 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712717966233274967 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712717966233274968 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712717966233274969 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712717966233274970 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712717966233274971 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712717966233274972 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712717966233274974 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712717966233274975 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712717966233274976 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712717966233274977 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712717966233274978 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712717966233274979 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712717966233274981 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712717966233274982 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712717966233274983 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712717966233274984 ('BRV', <Side.SELL: 2>)
1712717966233275009 ('IGM', <Side.SELL: 2>) 2 5508 -7
1712717966233275015 ('BRV', <Side.SELL: 2>) 2 5116 -11
1712717966233275015 ('BRV', <Side.SELL: 2>) 1 5115 -10
1712717966233275017 ('BRV', <Side.SELL: 2>) 1 5125 0
1712717966233275011 ('IGM', <Side.SELL: 2>) 2 5521 0
1712717966233275003 ('MKU', <Side.SELL: 2>) 2 5004 0
1712717966233274997 ('DLO', <Side.SELL: 2>) 2 5016 0
1712717966233275013 ('IGM', <Side.SELL: 2>) 2 5541 0
1712717966233274985 ('EPT', <Side.BUY: 1>) 1 4798 0
1712717966233274990 ('EPT', <Side.BUY: 1>) 2 4778 0
[CANCELLED] 1712717966233274991 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712717966233274992 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717966233274993 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712717966233274994 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717966233274995 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712717966233274986 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717966233274996 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717966233274998 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717966233274999 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712717966233275000 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717966233275001 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712717966233274987 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712717966233275002 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712717966233275004 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712717966233275005 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712717966233275006 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712717966233275007 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712717966233274988 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712717966233275008 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712717966233275010 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712717966233275012 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712717966233274989 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712717966233275014 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712717966233275016 ('BRV', <Side.BUY: 1>)
1712717966233275042 ('IGM', <Side.SELL: 2>) 2 5587 0
1712717966233275020 ('MKU', <Side.BUY: 1>) 1 5010 0
1712717966233275044 ('IGM', <Side.SELL: 2>) 2 5607 0
1712717966233275018 ('EPT', <Side.BUY: 1>) 1 4780 0
1712717966233275046 ('IGM', <Side.SELL: 2>) 2 5627 0
1712717966233275022 ('BRV', <Side.BUY: 1>) 1 5149 0
[CANCELLED] 1712717966233275023 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717966233275024 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712717966233275025 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717966233275026 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712717966233275027 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717966233275028 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712717966233275019 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717966233275029 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717966233275030 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712717966233275031 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717966233275032 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712717966233275033 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717966233275034 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712717966233275035 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712717966233275036 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712717966233275037 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712717966233275038 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712717966233275039 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712717966233275040 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712717966233275021 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712717966233275041 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712717966233275043 ('IGM', <Side.BUY: 1>)
