1712718597860443907 ('IGM', <Side.BUY: 1>) 1 5797 6
1712718597860443934 ('BRV', <Side.SELL: 2>) 2 5701 0
1712718597860443922 ('MKU', <Side.SELL: 2>) 2 5409 0
1712718597860443936 ('BRV', <Side.SELL: 2>) 2 5721 0
1712718597860443928 ('IGM', <Side.SELL: 2>) 2 5839 0
[CANCELLED] 1712718597860443904 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712718597860443909 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712718597860443910 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712718597860443911 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712718597860443912 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712718597860443913 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712718597860443914 ('EPT', <Side.SELL: 2>)
1712718597860443939 ('EPT', <Side.BUY: 1>) 1 4778 0
[CANCELLED] 1712718597860443905 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712718597860443915 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712718597860443916 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712718597860443917 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712718597860443918 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712718597860443919 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712718597860443920 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712718597860443906 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712718597860443921 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712718597860443923 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712718597860443924 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712718597860443925 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712718597860443926 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712718597860443927 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712718597860443929 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712718597860443930 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712718597860443931 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712718597860443932 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712718597860443908 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712718597860443933 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712718597860443935 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712718597860443937 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712718597860443938 ('BRV', <Side.SELL: 2>)
1712718597860443969 ('BRV', <Side.SELL: 2>) 2 5737 -17
1712718597860443942 ('IGM', <Side.BUY: 1>) 1 5815 0
1712718597860443962 ('IGM', <Side.BUY: 1>) 2 5795 0
1712718597860443964 ('IGM', <Side.BUY: 1>) 2 5775 0
1712718597860443945 ('EPT', <Side.SELL: 2>) 2 4808 0
1712718597860443943 ('BRV', <Side.BUY: 1>) 1 5692 0
